"SampleID","OrganizationIdentifier","ActivityIdentifier","ActivityTypeCode","ActivityMediaName","ActivityMediaSubdivisionName","ActivityStartDate","ProjectIdentifier","ActivityConductingOrganizationText","MonitoringLocationIdentifier","ActivityCommentText","HydrologicCondition","HydrologicEvent","SampleCollectionMethodMethodIdentifier","SampleCollectionMethodIdentifierContext","SampleCollectionMethodName","SampleCollectionEquipmentName","ResultDetectionConditionText","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","ResultMeasureMeasureUnitCode","ProviderName","SiteID","OrganizationIdentifier.2","OrganizationFormalName","MonitoringLocationIdentifier.2","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","LatitudeMeasure","LongitudeMeasure","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","Elevation","ElevationUnitCode","ElevationCollectionMethodName","CountryCode","StateCode","CountyCode","Built","WellDepthMeasureValue","WellDepthMeasureUnitCode","WellHoleDepthMeasureValue","WellHoleDepthMeasureUnitCode","ProviderName.2"
3603067,"BPMWQX","BPMWQX-155047","Sample-Routine","Water","Groundwater","2016-10-19 00:00:00","2901","NULL","BPMWQX-1374-KMMW1","Scribe Sample No: A8M5-2552","NULL","NULL","NULL","NULL","NULL","Miscellaneous (Other)","Not Detected","U","Dissolved",0.01,"ug/L","STORET",250269,"BPMWQX","Bonita Peak Mining","BPMWQX-1374-KMMW1","KMMW1","CERCLA Superfund Site","NULL",37.858093805,-107.572115363,"Unknown","WGS84","NULL","NULL","NULL","US",8,111,"NULL","NULL","NULL","NULL","NULL","STORET"
3603118,"BPMWQX","BPMWQX-155182","Sample-Routine","Water","Groundwater","2016-10-19 00:00:00","2901","NULL","BPMWQX-1376-KMMW3","Scribe Sample No: A8M5-2555","NULL","NULL","NULL","NULL","NULL","Miscellaneous (Other)","Not Detected","U","Dissolved",0.01,"ug/L","STORET",250271,"BPMWQX","Bonita Peak Mining","BPMWQX-1376-KMMW3","KMMW3","CERCLA Superfund Site","NULL",37.858742371,-107.572868394,"Unknown","WGS84","NULL","NULL","NULL","US",8,111,"NULL","NULL","NULL","NULL","NULL","STORET"
3603132,"BPMWQX","BPMWQX-155137","Sample-Routine","Water","Groundwater","2016-10-19 00:00:00","2901","NULL","BPMWQX-1375-KMMW2","Scribe Sample No: A8M5-2554","NULL","NULL","NULL","NULL","NULL","Miscellaneous (Other)","Not Detected","U","Dissolved",0.01,"ug/L","STORET",250270,"BPMWQX","Bonita Peak Mining","BPMWQX-1375-KMMW2","KMMW2","CERCLA Superfund Site","NULL",37.858190638,-107.573265157,"Unknown","WGS84","NULL","NULL","NULL","US",8,111,"NULL","NULL","NULL","NULL","NULL","STORET"
3603206,"BPMWQX","BPMWQX-155221","Sample-Routine","Water","Groundwater","2016-10-19 00:00:00","2901","NULL","BPMWQX-1377-KMMW4","Scribe Sample No: A8M5-2556","NULL","NULL","NULL","NULL","NULL","Miscellaneous (Other)","Not Detected","U","Dissolved",0.01,"ug/L","STORET",250272,"BPMWQX","Bonita Peak Mining","BPMWQX-1377-KMMW4","KMMW4","CERCLA Superfund Site","NULL",37.858533211,-107.571693196,"Unknown","WGS84","NULL","NULL","NULL","US",8,111,"NULL","NULL","NULL","NULL","NULL","STORET"
