"","i","ab","ac","ad","ae"
"1",1,0.882087628865979,0.00128865979381443,0.848648648648649,0.00222708663276146
"2",2,0.882603092783505,0.001538316544628,0.84954954954955,0.000671491885135082
"3",3,0.882860824742268,0.000705828038022119,0.851951951951952,0.00171197511276146
"4",4,0.882474226804124,0.00107817013728618,0.848648648648649,0.00246721872750075
"5",5,0.882603092783505,0.001538316544628,0.85015015015015,0.00125624628608717
"6",6,0.881958762886598,0.000840103402732297,0.848048048048048,0.00246721872750075
"7",7,0.881829896907216,0.00133611091194121,0.847747747747748,0.00171197511276149
"8",8,0.882860824742268,0.00146929822822053,0.851051051051051,0.00268596754054028
"9",9,0.882731958762887,0.00101877501938414,0.848648648648649,0.00246721872750072
"10",10,0.882087628865979,0.00136683011827296,0.85045045045045,0.00201447565540519
"11",11,0.882087628865979,0.00120543085914109,0.84984984984985,0.00183895626335072
"12",12,0.881829896907216,0.000977174670625196,0.84984984984985,0.00183895626335072
"13",13,0.882345360824742,0.000734649114110267,0.84984984984985,0.00280905209217262
"14",14,0.881443298969072,0.00157827947344276,0.851051051051051,0.00268596754054028
"15",15,0.882216494845361,0.000705828038022119,0.851051051051051,0.00125624628608717
"16",16,0.882603092783505,0.000539085068643088,0.849249249249249,0.00227713977298844
"17",17,0.882860824742268,0.000539085068643088,0.848048048048048,0.00246721872750075
"18",18,0.882603092783505,0.000840103402732297,0.848048048048048,0.00288819580505577
"19",19,0.881701030927835,0.00107817013728618,0.85045045045045,0.00171197511276144
"20",20,0.881829896907216,0.00161725520592926,0.848348348348348,0
"21",21,0.882345360824742,0.00125603019907332,0.847147147147147,0.00195771844000082
"22",22,0.881958762886598,0.000840103402732297,0.848048048048048,0.00288819580505575
"23",23,0.882087628865979,0.00120543085914109,0.850750750750751,0.00171197511276144
"24",24,0.881572164948454,0.00105874205703318,0.85015015015015,0.00195771844000077
"25",25,0.882345360824742,0.000734649114110267,0.85015015015015,0.00222708663276144
"26",26,0.88298969072165,0.00117048338431604,0.849249249249249,0.00171197511276146
"27",27,0.882216494845361,0.00190050015512275,0.848948948948949,0.00171197511276145
"28",28,0.88298969072165,0.00117048338431604,0.847747747747748,0.00201447565540524
"29",29,0.882087628865979,0.00182244015769728,0.85045045045045,0.00227713977298844
"30",30,0.88298969072165,0.000576306179767985,0.85045045045045,0.0008224062425002
"31",31,0.882087628865979,0.00045561003942432,0.848648648648649,0.00164481248500048
"32",32,0.882731958762887,0.00144076544941996,0.85015015015015,0.00195771844000077
"33",33,0.882860824742268,0.000288153089883993,0.847147147147147,0.00325517768598781
"34",34,0.881958762886598,0.00105874205703318,0.848948948948949,0.00376873885826162
"35",35,0.882087628865979,0.00120543085914109,0.85015015015015,0.00246721872750072
"36",36,0.882731958762887,0.00128865979381443,0.847147147147147,0.00195771844000082
"37",37,0.882087628865979,0.000644329896907214,0.850750750750751,0.00201447565540519
"38",38,0.881443298969072,0.000789139736721382,0.851051051051051,0.00195771844000077
"39",39,0.883376288659794,0.00101877501938414,0.849249249249249,0.00171197511276146
"40",40,0.882345360824742,0.000864459269651978,0.851651651651652,0.00288819580505575
"41",41,0.881958762886598,0.000539085068643088,0.848648648648649,0.00125624628608722
"42",42,0.88298969072165,0.000977174670625196,0.848948948948949,0.00134298377027016
"43",43,0.882603092783505,0.000840103402732297,0.85045045045045,0.00201447565540519
"44",44,0.881185567010309,0.00117048338431604,0.848348348348348,0.00280905209217262
"45",45,0.882603092783505,0.000705828038022119,0.849249249249249,0.00272761293161934
"46",46,0.882087628865979,0.000789139736721382,0.848948948948949,0.00171197511276145
"47",47,0.881701030927835,0.00107817013728618,0.85015015015015,0.000671491885135032
"48",48,0.882603092783505,0.000840103402732297,0.85045045045045,0.00171197511276144
"49",49,0.882731958762887,0.00128865979381443,0.850750750750751,0.00171197511276144
"50",50,0.881185567010309,0.000734649114110267,0.848048048048048,0.00325517768598781
"51",51,0.881572164948454,0.000705828038022119,0.848948948948949,0.00171197511276145
"52",52,0.883118556701031,0.00117048338431604,0.849249249249249,0.00201447565540519
"53",53,0.881572164948454,0.001538316544628,0.848648648648649,0.00288819580505577
"54",54,0.882731958762887,0.000789139736721382,0.85015015015015,0.00268596754054027
"55",55,0.882474226804124,0.000734649114110267,0.84954954954955,0.00125624628608718
