"","i","ab","ac","ad","ae"
"1",1,0.917268041237113,0.00185629642923817,0.851651651651652,0.00164481248500049
"2",2,0.917268041237113,0.000734649114110267,0.853753753753754,0.00251249257217439
"3",3,0.916237113402062,0.00203755003876828,0.852852852852853,0.00237408232745374
"4",4,0.915979381443299,0.00125603019907332,0.852552552552553,0.00164481248500052
"5",5,0.916881443298969,0.00045561003942432,0.854054054054054,0.00164481248500052
"6",6,0.916365979381443,0.00247039813307746,0.851951951951952,0.00328962497000101
"7",7,0.915592783505155,0.0017645700950553,0.854354354354354,0.00106172189367351
"8",8,0.915335051546392,0.000977174670625196,0.853453453453453,0.00171197511276149
"9",9,0.917396907216495,0.00166780658576612,0.853453453453453,0.00251249257217444
"10",10,0.916494845360825,0.00168020680546459,0.852852852852853,0.00183895626335076
"11",11,0.916623711340206,0.00133611091194121,0.852552552552553,0.00164481248500048
"12",12,0.915077319587629,0.000840103402732297,0.853753753753754,0.00227713977298844
"13",13,0.917139175257732,0.000352914019011059,0.853453453453453,0.00227713977298844
"14",14,0.915721649484536,0.00172891853930396,0.851951951951952,0.000822406242500261
"15",15,0.916365979381443,0.00215634027457235,0.852852852852853,0.00106172189367351
"16",16,0.916881443298969,0.0015110875514895,0.853753753753754,0.00134298377027016
"17",17,0.917912371134021,0.00256116068483918,0.853453453453453,0.00134298377027016
"18",18,0.915077319587629,0.00210765814868506,0.851351351351351,0.00183895626335072
"19",19,0.915592783505155,0.00157827947344276,0.854354354354354,0.00237408232745377
"20",20,0.915463917525773,0.00210765814868506,0.853153153153153,0.00222708663276145
"21",21,0.91610824742268,0.00139687392968291,0.851651651651652,0.00125624628608718
"22",22,0.916623711340206,0.00185629642923813,0.852252252252252,0.00251249257217439
"23",23,0.917139175257732,0.00133611091194121,0.852552552552553,0.00125624628608722
"24",24,0.915979381443299,0.00125603019907332,0.852252252252252,0.00134298377027016
"25",25,0.916237113402062,0.00128865979381443,0.851951951951952,0.00134298377027016
"26",26,0.916237113402062,0.0018785283166383,0.851951951951952,0.00201447565540519
"27",27,0.916237113402062,0.00198595811951319,0.853153153153153,0.00246721872750078
"28",28,0.91701030927835,0.00123939330294274,0.853153153153153,0.00195771844000082
"29",29,0.916752577319588,0.00178794290277211,0.853153153153153,0.00125624628608722
"30",30,0.917139175257732,0.00216594540128499,0.853753753753754,0.00201447565540524
"31",31,0.915592783505155,0.00120543085914109,0.853753753753754,0.00251249257217444
"32",32,0.91610824742268,0.000539085068643088,0.852552552552553,0.00125624628608722
"33",33,0.91701030927835,0.00184508003392736,0.852552552552553,0.00195771844000082
"34",34,0.916365979381443,0.000539085068643088,0.852852852852853,0.00106172189367351
"35",35,0.915592783505155,0.000789139736721382,0.852852852852853,0.00106172189367351
"36",36,0.915850515463917,0.000977174670625196,0.851951951951952,0.00272761293161936
"37",37,0.915850515463917,0.0017408835162508,0.851951951951952,0.00171197511276146
"38",38,0.916237113402062,0.00101877501938414,0.851951951951952,0.000822406242500261
"39",39,0.917268041237113,0.00117048338431604,0.853453453453453,0.000822406242500261
"40",40,0.916623711340206,0.00196494209819294,0.851651651651652,0.00164481248500049
"41",41,0.917912371134021,0.00133611091194121,0.854354354354354,0.00183895626335076
"42",42,0.91701030927835,0.00139687392968291,0.854354354354354,0.00150150150150152
"43",43,0.916623711340206,0.00141165607604424,0.852552552552553,0.00125624628608722
"44",44,0.916365979381443,0.00172891853930396,0.853153153153153,0.00125624628608722
"45",45,0.917139175257732,0.000576306179767985,0.853153153153153,0.00125624628608722
"46",46,0.916365979381443,0.00105874205703318,0.853753753753754,0.00227713977298849
"47",47,0.916365979381443,0.00210765814868506,0.852552552552553,0.00125624628608722
"48",48,0.915463917525773,0.00166780658576607,0.854054054054054,0.00164481248500052
"49",49,0.915592783505155,0.0015110875514895,0.852252252252252,0.00171197511276145
"50",50,0.916494845360825,0.00155175187871034,0.853453453453453,0.00171197511276149
"51",51,0.916752577319588,0.00166780658576607,0.852252252252252,0.00227713977298843
"52",52,0.916752577319588,0.00195434934125039,0.854354354354354,0.00106172189367351
"53",53,0.916237113402062,0.00280856890692057,0.852552552552553,0.00195771844000079
"54",54,0.915721649484536,0.00139687392968291,0.853753753753754,0.000822406242500261
"55",55,0.917139175257732,0.00161725520592926,0.854054054054054,0.00164481248500052
"56",56,0.917268041237113,0.00191139136265356,0.853153153153153,0.00342395022552291
"57",57,0.916752577319588,0.00166780658576607,0.854054054054054,0.00246721872750078
"58",58,0.916752577319588,0.00123939330294274,0.851351351351351,0.00150150150150147
"59",59,0.917268041237113,0.00230522471907198,0.852552552552553,0.00164481248500052
"60",60,0.917912371134021,0.00216594540128504,0.852852852852853,0
"61",61,0.916623711340206,0.00155175187871034,0.851951951951952,0.00201447565540519
"62",62,0.917654639175258,0.00172891853930399,0.852852852852853,0.00183895626335072
"63",63,0.917912371134021,0.000977174670625196,0.852252252252252,0.00201447565540521
"64",64,0.916623711340206,0.00196494209819289,0.852552552552553,0.00164481248500048
"65",65,0.916365979381443,0.00146929822822053,0.852552552552553,0.00125624628608722
"66",66,0.915850515463917,0.00155175187871034,0.852852852852853,0.00150150150150152
"67",67,0.916881443298969,0.00284528378425513,0.854054054054054,0.00195771844000082
"68",68,0.917783505154639,0.00185629642923816,0.852552552552553,0.00125624628608722
"69",69,0.916752577319588,0.000539085068643088,0.851651651651652,0.000671491885135082
"70",70,0.915850515463917,0.000576306179767985,0.852552552552553,0.00195771844000079
"71",71,0.916752577319588,0.000955695681326757,0.852852852852853,0.00106172189367351
"72",72,0.915979381443299,0.00133611091194121,0.852552552552553,0.00125624628608722
"73",73,0.915979381443299,0.000576306179767985,0.852852852852853,0.00212344378734698
"74",74,0.916881443298969,0.00120543085914109,0.851651651651652,0.00125624628608718
"75",75,0.916623711340206,0.00216594540128499,0.853753753753754,0.00227713977298849
"76",76,0.915850515463917,0.00141165607604424,0.853453453453453,0.00134298377027016
"77",77,0.916237113402062,0.00136683011827296,0.854054054054054,0.00125624628608722
"78",78,0.915979381443299,0.00221334588109763,0.852252252252252,0.00201447565540521
"79",79,0.916881443298969,0.00120543085914109,0.851651651651652,0.00164481248500046
"80",80,0.916623711340206,0.00117048338431604,0.853153153153153,0.00164481248500052
"81",81,0.915592783505155,0.00120543085914109,0.851951951951952,0.00171197511276146
"82",82,0.915850515463917,0.00125603019907332,0.852552552552553,0.00222708663276146
"83",83,0.91610824742268,0.00146929822822053,0.853753753753754,0.00227713977298849
"84",84,0.916237113402062,0.0017645700950553,0.852552552552553,0.00164481248500048
"85",85,0.916752577319588,0.00146929822822053,0.852852852852853,0.00183895626335076
"86",86,0.917525773195876,0.00128865979381443,0.852552552552553,0.00288819580505577
"87",87,0.916365979381443,0.000955695681326757,0.854054054054054,0.00164481248500052
"88",88,0.915592783505155,0.00101877501938414,0.851651651651652,0.00164481248500049
"89",89,0.916365979381443,0.00146929822822053,0.853153153153153,0.00125624628608722
"90",90,0.916237113402062,0.00091122007884864,0.852852852852853,0.00212344378734702
"91",91,0.915979381443299,0.000576306179767985,0.851051051051051,0.00195771844000077
"92",92,0.915979381443299,0.000864459269651977,0.851951951951952,0.00134298377027012
"93",93,0.916881443298969,0,0.852252252252252,0.00171197511276145
