"","Obsclass","PredClass","ProbNotexceed","ProbExceed","SiteID"
"20039",1,"1",0.258,0.742,"20039"
"34840",0,"0",0.75,0.25,"34840"
"34883",0,"0",0.876,0.124,"34883"
"34968",1,"0",0.688,0.312,"34968"
"34993",0,"0",0.78,0.22,"34993"
"35109",0,"0",0.838,0.162,"35109"
"35137",0,"0",0.944,0.056,"35137"
"35156",0,"0",0.916,0.084,"35156"
"35158",0,"0",0.976,0.024,"35158"
"35163",0,"0",0.932,0.068,"35163"
"35202",0,"0",0.936,0.064,"35202"
"35222",0,"0",0.928,0.072,"35222"
"40543",0,"0",0.936,0.064,"40543"
"41604",0,"0",0.596,0.404,"41604"
"41663",0,"0",0.894,0.106,"41663"
"41668",0,"0",0.968,0.032,"41668"
"41686",0,"0",0.972,0.028,"41686"
"41687",0,"1",0.362,0.638,"41687"
"42723",0,"0",0.972,0.028,"42723"
"42724",0,"0",0.884,0.116,"42724"
"42818",0,"0",0.99,0.01,"42818"
"43890",1,"0",0.782,0.218,"43890"
"43892",0,"0",0.882,0.118,"43892"
"43925",0,"0",0.916,0.084,"43925"
"44063",1,"0",0.628,0.372,"44063"
"44114",0,"0",0.984,0.016,"44114"
"44203",0,"0",0.994,0.006,"44203"
"44224",0,"0",0.962,0.038,"44224"
"44226",0,"0",0.994,0.006,"44226"
"51563",0,"0",0.832,0.168,"51563"
"51658",0,"0",0.758,0.242,"51658"
"51683",1,"0",0.786,0.214,"51683"
"51709",0,"0",0.752,0.248,"51709"
"51754",1,"0",0.872,0.128,"51754"
"51795",0,"0",0.866,0.134,"51795"
"51830",0,"0",0.93,0.07,"51830"
"51832",0,"1",0.466,0.534,"51832"
"51846",1,"0",0.83,0.17,"51846"
"51865",0,"0",0.866,0.134,"51865"
"51916",0,"0",0.876,0.124,"51916"
"51917",0,"0",0.93,0.07,"51917"
"51967",1,"1",0.334,0.666,"51967"
"51977",0,"0",0.76,0.24,"51977"
"51989",1,"1",0.448,0.552,"51989"
"52028",0,"1",0.438,0.562,"52028"
"52038",1,"1",0.294,0.706,"52038"
"52043",1,"1",0.122,0.878,"52043"
"52050",0,"0",0.64,0.36,"52050"
"52051",0,"0",0.616,0.384,"52051"
"52060",0,"0",0.586,0.414,"52060"
"52077",0,"1",0.466,0.534,"52077"
"52102",1,"1",0.498,0.502,"52102"
"52131",0,"1",0.352,0.648,"52131"
"52139",0,"1",0.412,0.588,"52139"
"52145",0,"0",0.566,0.434,"52145"
"52161",0,"1",0.48,0.52,"52161"
"52163",1,"1",0.082,0.918,"52163"
"52166",0,"0",0.53,0.47,"52166"
"52228",0,"0",0.728,0.272,"52228"
"52315",0,"0",0.618,0.382,"52315"
"52364",0,"1",0.462,0.538,"52364"
"52419",0,"0",0.65,0.35,"52419"
"52565",0,"0",0.568,0.432,"52565"
"52665",0,"0",0.704,0.296,"52665"
"52669",1,"0",0.578,0.422,"52669"
"52757",0,"1",0.38,0.62,"52757"
"52774",1,"0",0.566,0.434,"52774"
"59242",1,"0",0.518,0.482,"59242"
"59246",0,"0",0.734,0.266,"59246"
"59257",0,"0",0.896,0.104,"59257"
"66249",0,"0",0.874,0.126,"66249"
"66424",1,"0",0.776,0.224,"66424"
"66533",1,"0",0.902,0.098,"66533"
"66615",0,"0",0.956,0.044,"66615"
"66644",0,"0",0.81,0.19,"66644"
"66854",0,"0",0.756,0.244,"66854"
"66921",1,"1",0.21,0.79,"66921"
"66947",0,"1",0.228,0.772,"66947"
"67122",0,"1",0.432,0.568,"67122"
"67327",1,"0",0.678,0.322,"67327"
"67383",0,"0",0.778,0.222,"67383"
"67398",0,"1",0.436,0.564,"67398"
"67495",0,"0",0.572,0.428,"67495"
