"","Obsclass","PredClass","ProbNotexceed","ProbExceed","SiteID"
"265758",1,"1",0,1,"265758"
"265769",1,"1",0.082,0.918,"265769"
"265785",0,"0",0.794,0.206,"265785"
"265844",1,"1",0,1,"265844"
"265900",0,"0",0.71,0.29,"265900"
"265972",0,"0",0.872,0.128,"265972"
"265995",1,"1",0.012,0.988,"265995"
"266035",0,"0",0.784,0.216,"266035"
"266203",1,"1",0.164,0.836,"266203"
"266216",1,"1",0.01,0.99,"266216"
"266236",0,"0",0.802,0.198,"266236"
"266263",1,"0",0.6,0.4,"266263"
"266287",1,"1",0.04,0.96,"266287"
"266296",0,"0",0.562,0.438,"266296"
"266498",1,"1",0.116,0.884,"266498"
"266520",1,"1",0.074,0.926,"266520"
"266547",1,"1",0.086,0.914,"266547"
"266772",1,"1",0.19,0.81,"266772"
"267160",1,"1",0.05,0.95,"267160"
"267234",1,"1",0.108,0.892,"267234"
"267323",1,"1",0.132,0.868,"267323"
"267370",1,"1",0.178,0.822,"267370"
"267372",1,"1",0.146,0.854,"267372"
"267419",1,"1",0.098,0.902,"267419"
"267470",1,"1",0.164,0.836,"267470"
"267501",1,"1",0.414,0.586,"267501"
"267517",1,"0",0.5,0.5,"267517"
"267680",1,"0",0.858,0.142,"267680"
