"","Obsclass","PredClass","ProbNotexceed","ProbExceed","SiteInfo","DataSource","SiteID","outcomeClass"
"103556_WQP",1,"0",0.768,0.232,"103556_WQP","WQP",103556,2
"103557_WQP",0,"0",0.702,0.298,"103557_WQP","WQP",103557,0
"103559_WQP",0,"0",0.584,0.416,"103559_WQP","WQP",103559,0
"103581_WQP",0,"1",0.454,0.546,"103581_WQP","WQP",103581,3
"103590_WQP",0,"0",0.512,0.488,"103590_WQP","WQP",103590,0
"103593_WQP",1,"1",0.39,0.61,"103593_WQP","WQP",103593,1
"103615_WQP",1,"1",0.33,0.67,"103615_WQP","WQP",103615,1
"103624_WQP",0,"0",0.762,0.238,"103624_WQP","WQP",103624,0
"104134_WQP",0,"1",0.386,0.614,"104134_WQP","WQP",104134,3
"104334_WQP",1,"0",0.838,0.162,"104334_WQP","WQP",104334,2
"105190_WQP",0,"0",0.986,0.014,"105190_WQP","WQP",105190,0
"105197_WQP",0,"0",0.954,0.046,"105197_WQP","WQP",105197,0
"105203_WQP",0,"0",0.798,0.202,"105203_WQP","WQP",105203,0
"106121_WQP",1,"0",0.52,0.48,"106121_WQP","WQP",106121,2
"106172_WQP",0,"1",0.338,0.662,"106172_WQP","WQP",106172,3
"106217_WQP",0,"1",0.304,0.696,"106217_WQP","WQP",106217,3
"106995_WQP",1,"1",0.074,0.926,"106995_WQP","WQP",106995,1
"107056_WQP",0,"0",0.828,0.172,"107056_WQP","WQP",107056,0
"107185_WQP",0,"0",0.902,0.098,"107185_WQP","WQP",107185,0
"107266_WQP",1,"0",0.512,0.488,"107266_WQP","WQP",107266,2
"107315_WQP",0,"0",0.622,0.378,"107315_WQP","WQP",107315,0
"107421_WQP",1,"1",0.238,0.762,"107421_WQP","WQP",107421,1
"107565_WQP",0,"0",0.834,0.166,"107565_WQP","WQP",107565,0
"107811_WQP",0,"0",0.906,0.094,"107811_WQP","WQP",107811,0
"107869_WQP",0,"0",0.918,0.082,"107869_WQP","WQP",107869,0
"107892_WQP",0,"0",0.768,0.232,"107892_WQP","WQP",107892,0
"107918_WQP",0,"0",0.898,0.102,"107918_WQP","WQP",107918,0
"108085_WQP",1,"0",0.928,0.072,"108085_WQP","WQP",108085,2
"108109_WQP",1,"0",0.818,0.182,"108109_WQP","WQP",108109,2
"108404_WQP",0,"0",0.964,0.036,"108404_WQP","WQP",108404,0
"108488_WQP",0,"0",0.98,0.02,"108488_WQP","WQP",108488,0
"109654_WQP",0,"0",0.978,0.022,"109654_WQP","WQP",109654,0
"109693_WQP",0,"0",0.98,0.02,"109693_WQP","WQP",109693,0
"110053_WQP",0,"0",0.866,0.134,"110053_WQP","WQP",110053,0
"110757_WQP",1,"0",0.84,0.16,"110757_WQP","WQP",110757,2
"110761_WQP",1,"0",0.558,0.442,"110761_WQP","WQP",110761,2
"110847_WQP",0,"0",0.712,0.288,"110847_WQP","WQP",110847,0
"110874_WQP",1,"1",0.13,0.87,"110874_WQP","WQP",110874,1
"110961_WQP",1,"1",0.14,0.86,"110961_WQP","WQP",110961,1
"110985_WQP",0,"1",0.412,0.588,"110985_WQP","WQP",110985,3
"111006_WQP",1,"1",0.152,0.848,"111006_WQP","WQP",111006,1
"111166_WQP",0,"0",0.576,0.424,"111166_WQP","WQP",111166,0
"111282_WQP",0,"1",0.342,0.658,"111282_WQP","WQP",111282,3
"111331_WQP",1,"1",0.35,0.65,"111331_WQP","WQP",111331,1
"111420_WQP",0,"0",0.574,0.426,"111420_WQP","WQP",111420,0
"112253_WQP",0,"1",0.488,0.512,"112253_WQP","WQP",112253,3
"112303_WQP",1,"1",0.402,0.598,"112303_WQP","WQP",112303,1
"112342_WQP",1,"0",0.708,0.292,"112342_WQP","WQP",112342,2
"112372_WQP",1,"1",0.376,0.624,"112372_WQP","WQP",112372,1
"112425_WQP",1,"0",0.572,0.428,"112425_WQP","WQP",112425,2
"112434_WQP",1,"0",0.788,0.212,"112434_WQP","WQP",112434,2
"112438_WQP",1,"0",0.746,0.254,"112438_WQP","WQP",112438,2
"112504_WQP",1,"0",0.748,0.252,"112504_WQP","WQP",112504,2
"112559_WQP",0,"0",0.622,0.378,"112559_WQP","WQP",112559,0
"115223_WQP",0,"0",0.744,0.256,"115223_WQP","WQP",115223,0
"115244_WQP",0,"0",0.822,0.178,"115244_WQP","WQP",115244,0
"115261_WQP",0,"0",0.63,0.37,"115261_WQP","WQP",115261,0
"115454_WQP",0,"0",0.998,0.002,"115454_WQP","WQP",115454,0
"116013_WQP",0,"0",0.976,0.024,"116013_WQP","WQP",116013,0
"117047_WQP",1,"1",0.414,0.586,"117047_WQP","WQP",117047,1
"117113_WQP",0,"0",0.964,0.036,"117113_WQP","WQP",117113,0
"117311_WQP",0,"0",0.992,0.008,"117311_WQP","WQP",117311,0
"117320_WQP",0,"0",0.996,0.004,"117320_WQP","WQP",117320,0
"117321_WQP",0,"0",0.992,0.008,"117321_WQP","WQP",117321,0
"117331_WQP",0,"0",0.96,0.04,"117331_WQP","WQP",117331,0
"117639_WQP",1,"1",0.338,0.662,"117639_WQP","WQP",117639,1
"118050_WQP",0,"0",0.964,0.036,"118050_WQP","WQP",118050,0
"118133_WQP",0,"0",0.984,0.016,"118133_WQP","WQP",118133,0
"118136_WQP",1,"0",0.718,0.282,"118136_WQP","WQP",118136,2
"118150_WQP",0,"0",0.654,0.346,"118150_WQP","WQP",118150,0
"118172_WQP",0,"0",0.962,0.038,"118172_WQP","WQP",118172,0
"118219_WQP",0,"0",0.892,0.108,"118219_WQP","WQP",118219,0
"118223_WQP",0,"0",0.854,0.146,"118223_WQP","WQP",118223,0
"118227_WQP",0,"0",0.968,0.032,"118227_WQP","WQP",118227,0
"118228_WQP",0,"0",0.962,0.038,"118228_WQP","WQP",118228,0
"118231_WQP",0,"0",0.924,0.076,"118231_WQP","WQP",118231,0
"118271_WQP",0,"0",0.826,0.174,"118271_WQP","WQP",118271,0
"118304_WQP",0,"1",0.492,0.508,"118304_WQP","WQP",118304,3
"118305_WQP",0,"1",0.46,0.54,"118305_WQP","WQP",118305,3
"118320_WQP",0,"0",0.542,0.458,"118320_WQP","WQP",118320,0
"118396_WQP",0,"0",0.648,0.352,"118396_WQP","WQP",118396,0
"118415_WQP",0,"0",0.802,0.198,"118415_WQP","WQP",118415,0
"118432_WQP",0,"0",0.826,0.174,"118432_WQP","WQP",118432,0
"118600_WQP",1,"1",0.076,0.924,"118600_WQP","WQP",118600,1
"118755_WQP",0,"0",0.802,0.198,"118755_WQP","WQP",118755,0
"118898_WQP",0,"0",0.554,0.446,"118898_WQP","WQP",118898,0
"118903_WQP",0,"0",0.884,0.116,"118903_WQP","WQP",118903,0
"118949_WQP",0,"1",0.444,0.556,"118949_WQP","WQP",118949,3
"119578_WQP",0,"0",0.906,0.094,"119578_WQP","WQP",119578,0
"119581_WQP",0,"0",0.948,0.052,"119581_WQP","WQP",119581,0
"119582_WQP",0,"0",0.98,0.02,"119582_WQP","WQP",119582,0
"119589_WQP",0,"0",0.836,0.164,"119589_WQP","WQP",119589,0
"119591_WQP",1,"0",0.972,0.028,"119591_WQP","WQP",119591,2
"119600_WQP",0,"0",0.984,0.016,"119600_WQP","WQP",119600,0
"119730_WQP",0,"0",0.84,0.16,"119730_WQP","WQP",119730,0
"119803_WQP",0,"0",0.984,0.016,"119803_WQP","WQP",119803,0
"119834_WQP",0,"0",0.948,0.052,"119834_WQP","WQP",119834,0
"119853_WQP",0,"0",0.936,0.064,"119853_WQP","WQP",119853,0
"119894_WQP",0,"0",0.85,0.15,"119894_WQP","WQP",119894,0
"119916_WQP",0,"0",0.842,0.158,"119916_WQP","WQP",119916,0
"119979_WQP",1,"0",0.562,0.438,"119979_WQP","WQP",119979,2
"120062_WQP",0,"0",0.632,0.368,"120062_WQP","WQP",120062,0
"120140_WQP",1,"1",0.186,0.814,"120140_WQP","WQP",120140,1
"120319_WQP",0,"0",0.868,0.132,"120319_WQP","WQP",120319,0
"120818_WQP",0,"0",0.974,0.026,"120818_WQP","WQP",120818,0
"121700_WQP",0,"1",0.498,0.502,"121700_WQP","WQP",121700,3
"121794_WQP",0,"0",0.69,0.31,"121794_WQP","WQP",121794,0
"121811_WQP",0,"0",0.85,0.15,"121811_WQP","WQP",121811,0
"121831_WQP",1,"0",0.808,0.192,"121831_WQP","WQP",121831,2
"121835_WQP",0,"0",0.854,0.146,"121835_WQP","WQP",121835,0
"121937_WQP",1,"1",0.43,0.57,"121937_WQP","WQP",121937,1
"122081_WQP",1,"1",0.34,0.66,"122081_WQP","WQP",122081,1
"122114_WQP",1,"1",0.33,0.67,"122114_WQP","WQP",122114,1
"122120_WQP",1,"1",0.264,0.736,"122120_WQP","WQP",122120,1
"122235_WQP",1,"1",0.402,0.598,"122235_WQP","WQP",122235,1
"122240_WQP",1,"1",0.442,0.558,"122240_WQP","WQP",122240,1
"122268_WQP",0,"1",0.194,0.806,"122268_WQP","WQP",122268,3
"122358_WQP",0,"1",0.14,0.86,"122358_WQP","WQP",122358,3
"122402_WQP",0,"1",0.35,0.65,"122402_WQP","WQP",122402,3
"122448_WQP",1,"0",0.644,0.356,"122448_WQP","WQP",122448,2
"122462_WQP",0,"0",0.89,0.11,"122462_WQP","WQP",122462,0
"122503_WQP",1,"1",0.128,0.872,"122503_WQP","WQP",122503,1
"122573_WQP",0,"1",0.296,0.704,"122573_WQP","WQP",122573,3
"122587_WQP",1,"1",0.318,0.682,"122587_WQP","WQP",122587,1
"122673_WQP",0,"0",0.562,0.438,"122673_WQP","WQP",122673,0
"122690_WQP",1,"1",0.416,0.584,"122690_WQP","WQP",122690,1
"122692_WQP",0,"0",0.816,0.184,"122692_WQP","WQP",122692,0
"122706_WQP",0,"0",0.844,0.156,"122706_WQP","WQP",122706,0
"129738_WQP",1,"0",0.582,0.418,"129738_WQP","WQP",129738,2
"151053_WQP",0,"0",0.582,0.418,"151053_WQP","WQP",151053,0
"151345_WQP",0,"0",0.948,0.052,"151345_WQP","WQP",151345,0
"151357_WQP",0,"0",0.626,0.374,"151357_WQP","WQP",151357,0
"151421_WQP",0,"0",0.992,0.008,"151421_WQP","WQP",151421,0
"151519_WQP",1,"0",0.526,0.474,"151519_WQP","WQP",151519,2
"151540_WQP",0,"0",0.946,0.054,"151540_WQP","WQP",151540,0
"151563_WQP",0,"0",0.998,0.002,"151563_WQP","WQP",151563,0
"151579_WQP",0,"0",0.992,0.008,"151579_WQP","WQP",151579,0
"151595_WQP",0,"0",0.98,0.02,"151595_WQP","WQP",151595,0
"151669_WQP",1,"1",0.488,0.512,"151669_WQP","WQP",151669,1
"151684_WQP",0,"0",0.872,0.128,"151684_WQP","WQP",151684,0
"151716_WQP",0,"0",0.92,0.08,"151716_WQP","WQP",151716,0
"151758_WQP",0,"0",0.922,0.078,"151758_WQP","WQP",151758,0
"151768_WQP",0,"0",0.638,0.362,"151768_WQP","WQP",151768,0
"151854_WQP",0,"0",0.604,0.396,"151854_WQP","WQP",151854,0
"151888_WQP",0,"0",0.924,0.076,"151888_WQP","WQP",151888,0
"151894_WQP",0,"0",0.742,0.258,"151894_WQP","WQP",151894,0
"151920_WQP",0,"0",0.938,0.062,"151920_WQP","WQP",151920,0
"151941_WQP",0,"0",0.874,0.126,"151941_WQP","WQP",151941,0
"159648_WQP",0,"0",0.808,0.192,"159648_WQP","WQP",159648,0
"159653_WQP",0,"0",0.8,0.2,"159653_WQP","WQP",159653,0
"159666_WQP",1,"0",0.788,0.212,"159666_WQP","WQP",159666,2
"159934_WQP",0,"0",0.782,0.218,"159934_WQP","WQP",159934,0
"160138_WQP",0,"0",0.536,0.464,"160138_WQP","WQP",160138,0
"160381_WQP",1,"0",0.69,0.31,"160381_WQP","WQP",160381,2
"160516_WQP",1,"1",0.258,0.742,"160516_WQP","WQP",160516,1
"178985_WQP",0,"0",0.946,0.054,"178985_WQP","WQP",178985,0
"179000_WQP",0,"0",0.856,0.144,"179000_WQP","WQP",179000,0
"179426_WQP",0,"0",0.842,0.158,"179426_WQP","WQP",179426,0
"179578_WQP",0,"0",0.924,0.076,"179578_WQP","WQP",179578,0
"179628_WQP",0,"0",0.732,0.268,"179628_WQP","WQP",179628,0
"179637_WQP",1,"0",0.738,0.262,"179637_WQP","WQP",179637,2
"179658_WQP",0,"0",0.616,0.384,"179658_WQP","WQP",179658,0
"179706_WQP",0,"0",0.906,0.094,"179706_WQP","WQP",179706,0
"179952_WQP",1,"0",0.838,0.162,"179952_WQP","WQP",179952,2
"179953_WQP",0,"0",0.778,0.222,"179953_WQP","WQP",179953,0
"179994_WQP",0,"0",0.79,0.21,"179994_WQP","WQP",179994,0
"180320_WQP",0,"0",0.936,0.064,"180320_WQP","WQP",180320,0
"180378_WQP",1,"0",0.556,0.444,"180378_WQP","WQP",180378,2
"180385_WQP",1,"0",0.72,0.28,"180385_WQP","WQP",180385,2
"180389_WQP",0,"0",0.782,0.218,"180389_WQP","WQP",180389,0
"180390_WQP",0,"0",0.856,0.144,"180390_WQP","WQP",180390,0
"180404_WQP",0,"0",0.628,0.372,"180404_WQP","WQP",180404,0
"180411_WQP",0,"0",0.728,0.272,"180411_WQP","WQP",180411,0
"180420_WQP",0,"0",0.87,0.13,"180420_WQP","WQP",180420,0
"180436_WQP",0,"0",0.93,0.07,"180436_WQP","WQP",180436,0
"180439_WQP",0,"0",0.654,0.346,"180439_WQP","WQP",180439,0
"180464_WQP",1,"1",0.37,0.63,"180464_WQP","WQP",180464,1
"180476_WQP",1,"0",0.786,0.214,"180476_WQP","WQP",180476,2
"180566_WQP",1,"0",0.604,0.396,"180566_WQP","WQP",180566,2
"180577_WQP",0,"0",0.804,0.196,"180577_WQP","WQP",180577,0
"180603_WQP",0,"0",0.836,0.164,"180603_WQP","WQP",180603,0
"180651_WQP",0,"0",0.996,0.004,"180651_WQP","WQP",180651,0
"180706_WQP",0,"0",0.946,0.054,"180706_WQP","WQP",180706,0
"180708_WQP",0,"0",0.966,0.034,"180708_WQP","WQP",180708,0
"180726_WQP",0,"0",0.778,0.222,"180726_WQP","WQP",180726,0
"180751_WQP",0,"0",0.982,0.018,"180751_WQP","WQP",180751,0
"180784_WQP",1,"0",0.792,0.208,"180784_WQP","WQP",180784,2
"180795_WQP",0,"0",0.688,0.312,"180795_WQP","WQP",180795,0
"180807_WQP",0,"0",1,0,"180807_WQP","WQP",180807,0
"180811_WQP",0,"0",0.97,0.03,"180811_WQP","WQP",180811,0
"180871_WQP",0,"1",0.206,0.794,"180871_WQP","WQP",180871,3
"180894_WQP",0,"1",0.44,0.56,"180894_WQP","WQP",180894,3
"184121_WQP",0,"0",0.822,0.178,"184121_WQP","WQP",184121,0
"184123_WQP",0,"0",0.808,0.192,"184123_WQP","WQP",184123,0
"184324_WQP",1,"0",0.868,0.132,"184324_WQP","WQP",184324,2
"184377_WQP",0,"0",0.804,0.196,"184377_WQP","WQP",184377,0
"185092_WQP",0,"0",0.734,0.266,"185092_WQP","WQP",185092,0
"224368_WQP",1,"0",0.568,0.432,"224368_WQP","WQP",224368,2
"224395_WQP",0,"0",0.786,0.214,"224395_WQP","WQP",224395,0
"224444_WQP",1,"1",0.204,0.796,"224444_WQP","WQP",224444,1
"224474_WQP",1,"1",0.124,0.876,"224474_WQP","WQP",224474,1
"224495_WQP",0,"0",0.612,0.388,"224495_WQP","WQP",224495,0
"224501_WQP",0,"0",0.66,0.34,"224501_WQP","WQP",224501,0
"224517_WQP",0,"1",0.448,0.552,"224517_WQP","WQP",224517,3
"224528_WQP",0,"1",0.464,0.536,"224528_WQP","WQP",224528,3
"224529_WQP",0,"0",0.622,0.378,"224529_WQP","WQP",224529,0
"224538_WQP",0,"0",0.804,0.196,"224538_WQP","WQP",224538,0
"224587_WQP",1,"1",0.078,0.922,"224587_WQP","WQP",224587,1
"224599_WQP",1,"1",0.376,0.624,"224599_WQP","WQP",224599,1
"224620_WQP",1,"1",0.492,0.508,"224620_WQP","WQP",224620,1
"224670_WQP",1,"0",0.824,0.176,"224670_WQP","WQP",224670,2
"225068_WQP",0,"0",0.964,0.036,"225068_WQP","WQP",225068,0
"225086_WQP",0,"0",0.534,0.466,"225086_WQP","WQP",225086,0
"225995_WQP",1,"0",0.62,0.38,"225995_WQP","WQP",225995,2
"226172_WQP",0,"0",0.936,0.064,"226172_WQP","WQP",226172,0
"226214_WQP",0,"0",0.66,0.34,"226214_WQP","WQP",226214,0
"226759_WQP",1,"0",0.712,0.288,"226759_WQP","WQP",226759,2
"226976_WQP",1,"0",0.934,0.066,"226976_WQP","WQP",226976,2
"227662_WQP",1,"0",0.956,0.044,"227662_WQP","WQP",227662,2
"228385_WQP",0,"0",0.894,0.106,"228385_WQP","WQP",228385,0
"228543_WQP",0,"0",0.54,0.46,"228543_WQP","WQP",228543,0
"228667_WQP",0,"0",0.91,0.09,"228667_WQP","WQP",228667,0
"228720_WQP",0,"0",0.856,0.144,"228720_WQP","WQP",228720,0
"228761_WQP",1,"1",0.472,0.528,"228761_WQP","WQP",228761,1
"228793_WQP",0,"1",0.48,0.52,"228793_WQP","WQP",228793,3
"228855_WQP",0,"1",0.44,0.56,"228855_WQP","WQP",228855,3
"228864_WQP",1,"1",0.246,0.754,"228864_WQP","WQP",228864,1
"228865_WQP",1,"1",0.224,0.776,"228865_WQP","WQP",228865,1
"228882_WQP",1,"1",0.128,0.872,"228882_WQP","WQP",228882,1
"228925_WQP",1,"1",0.124,0.876,"228925_WQP","WQP",228925,1
"228973_WQP",0,"0",0.726,0.274,"228973_WQP","WQP",228973,0
"229069_WQP",0,"0",0.644,0.356,"229069_WQP","WQP",229069,0
"229094_WQP",1,"0",0.898,0.102,"229094_WQP","WQP",229094,2
"229113_WQP",0,"0",0.83,0.17,"229113_WQP","WQP",229113,0
"229114_WQP",0,"0",0.682,0.318,"229114_WQP","WQP",229114,0
"229127_WQP",0,"0",0.966,0.034,"229127_WQP","WQP",229127,0
"229135_WQP",0,"0",0.882,0.118,"229135_WQP","WQP",229135,0
"229152_WQP",0,"1",0.498,0.502,"229152_WQP","WQP",229152,3
"229251_WQP",0,"0",0.95,0.05,"229251_WQP","WQP",229251,0
"229495_WQP",0,"0",0.984,0.016,"229495_WQP","WQP",229495,0
"229516_WQP",1,"1",0.34,0.66,"229516_WQP","WQP",229516,1
"234107_WQP",0,"0",0.784,0.216,"234107_WQP","WQP",234107,0
"234128_WQP",0,"0",0.966,0.034,"234128_WQP","WQP",234128,0
"234367_WQP",1,"0",0.888,0.112,"234367_WQP","WQP",234367,2
"234517_WQP",0,"0",0.776,0.224,"234517_WQP","WQP",234517,0
"235095_WQP",1,"1",0.39,0.61,"235095_WQP","WQP",235095,1
"235152_WQP",0,"1",0.436,0.564,"235152_WQP","WQP",235152,3
"235154_WQP",0,"0",0.622,0.378,"235154_WQP","WQP",235154,0
"235158_WQP",0,"0",0.662,0.338,"235158_WQP","WQP",235158,0
"235168_WQP",0,"0",0.694,0.306,"235168_WQP","WQP",235168,0
"235220_WQP",1,"1",0.472,0.528,"235220_WQP","WQP",235220,1
"235252_WQP",1,"1",0.274,0.726,"235252_WQP","WQP",235252,1
"235253_WQP",1,"1",0.424,0.576,"235253_WQP","WQP",235253,1
"235329_WQP",0,"0",0.866,0.134,"235329_WQP","WQP",235329,0
"235335_WQP",0,"0",0.796,0.204,"235335_WQP","WQP",235335,0
"235376_WQP",0,"0",0.684,0.316,"235376_WQP","WQP",235376,0
"235399_WQP",1,"0",0.574,0.426,"235399_WQP","WQP",235399,2
"235413_WQP",0,"0",0.906,0.094,"235413_WQP","WQP",235413,0
"235419_WQP",0,"0",0.912,0.088,"235419_WQP","WQP",235419,0
"264061_WQP",0,"0",0.72,0.28,"264061_WQP","WQP",264061,0
"264076_WQP",0,"0",0.59,0.41,"264076_WQP","WQP",264076,0
"264108_WQP",1,"1",0.074,0.926,"264108_WQP","WQP",264108,1
"264200_WQP",1,"1",0.322,0.678,"264200_WQP","WQP",264200,1
"264202_WQP",1,"1",0.194,0.806,"264202_WQP","WQP",264202,1
"264291_WQP",1,"1",0.148,0.852,"264291_WQP","WQP",264291,1
"264567_WQP",1,"1",0.432,0.568,"264567_WQP","WQP",264567,1
"264694_WQP",1,"1",0.192,0.808,"264694_WQP","WQP",264694,1
"264979_WQP",0,"0",0.81,0.19,"264979_WQP","WQP",264979,0
"265034_WQP",0,"0",0.628,0.372,"265034_WQP","WQP",265034,0
"265064_WQP",1,"1",0.288,0.712,"265064_WQP","WQP",265064,1
"265078_WQP",0,"0",0.668,0.332,"265078_WQP","WQP",265078,0
"265089_WQP",0,"0",0.752,0.248,"265089_WQP","WQP",265089,0
"265091_WQP",1,"0",0.708,0.292,"265091_WQP","WQP",265091,2
"265107_WQP",0,"0",0.806,0.194,"265107_WQP","WQP",265107,0
"265169_WQP",0,"1",0.452,0.548,"265169_WQP","WQP",265169,3
"265205_WQP",1,"1",0.368,0.632,"265205_WQP","WQP",265205,1
"265210_WQP",1,"1",0.068,0.932,"265210_WQP","WQP",265210,1
"265421_WQP",1,"1",0.406,0.594,"265421_WQP","WQP",265421,1
"265493_WQP",1,"1",0.002,0.998,"265493_WQP","WQP",265493,1
"265532_WQP",1,"1",0.002,0.998,"265532_WQP","WQP",265532,1
"265758_WQP",1,"1",0,1,"265758_WQP","WQP",265758,1
"265769_WQP",1,"1",0.082,0.918,"265769_WQP","WQP",265769,1
"265785_WQP",0,"0",0.794,0.206,"265785_WQP","WQP",265785,0
"265844_WQP",1,"1",0,1,"265844_WQP","WQP",265844,1
"265900_WQP",0,"0",0.71,0.29,"265900_WQP","WQP",265900,0
"265972_WQP",0,"0",0.872,0.128,"265972_WQP","WQP",265972,0
"265995_WQP",1,"1",0.012,0.988,"265995_WQP","WQP",265995,1
"266035_WQP",0,"0",0.784,0.216,"266035_WQP","WQP",266035,0
"266203_WQP",1,"1",0.164,0.836,"266203_WQP","WQP",266203,1
"266216_WQP",1,"1",0.01,0.99,"266216_WQP","WQP",266216,1
"266236_WQP",0,"0",0.802,0.198,"266236_WQP","WQP",266236,0
"266263_WQP",1,"0",0.6,0.4,"266263_WQP","WQP",266263,2
"266287_WQP",1,"1",0.04,0.96,"266287_WQP","WQP",266287,1
"266296_WQP",0,"0",0.562,0.438,"266296_WQP","WQP",266296,0
"266498_WQP",1,"1",0.116,0.884,"266498_WQP","WQP",266498,1
"266520_WQP",1,"1",0.074,0.926,"266520_WQP","WQP",266520,1
"266547_WQP",1,"1",0.086,0.914,"266547_WQP","WQP",266547,1
"266772_WQP",1,"1",0.19,0.81,"266772_WQP","WQP",266772,1
"267160_WQP",1,"1",0.05,0.95,"267160_WQP","WQP",267160,1
"267234_WQP",1,"1",0.108,0.892,"267234_WQP","WQP",267234,1
"267323_WQP",1,"1",0.132,0.868,"267323_WQP","WQP",267323,1
"267370_WQP",1,"1",0.178,0.822,"267370_WQP","WQP",267370,1
"267372_WQP",1,"1",0.146,0.854,"267372_WQP","WQP",267372,1
"267419_WQP",1,"1",0.098,0.902,"267419_WQP","WQP",267419,1
"267470_WQP",1,"1",0.164,0.836,"267470_WQP","WQP",267470,1
"267501_WQP",1,"1",0.414,0.586,"267501_WQP","WQP",267501,1
"267517_WQP",1,"0",0.5,0.5,"267517_WQP","WQP",267517,2
"267680_WQP",1,"0",0.858,0.142,"267680_WQP","WQP",267680,2
