"","Obsclass","PredClass","ProbNotexceed","ProbExceed","SiteInfo","DataSource","SiteID","outcomeClass"
"569_NNWells",0,"0",0.76,0.24,"569_NNWells","NNWells",569,0
"587_NNWells",0,"0",0.916,0.084,"587_NNWells","NNWells",587,0
"594_NNWells",0,"0",0.736,0.264,"594_NNWells","NNWells",594,0
"595_NNWells",0,"1",0.46,0.54,"595_NNWells","NNWells",595,3
"597_NNWells",0,"0",0.924,0.076,"597_NNWells","NNWells",597,0
"600_NNWells",0,"0",0.778,0.222,"600_NNWells","NNWells",600,0
"601_NNWells",0,"0",0.958,0.042,"601_NNWells","NNWells",601,0
"603_NNWells",1,"0",0.818,0.182,"603_NNWells","NNWells",603,2
"605_NNWells",1,"0",0.822,0.178,"605_NNWells","NNWells",605,2
"610_NNWells",0,"0",0.856,0.144,"610_NNWells","NNWells",610,0
"611_NNWells",0,"0",0.826,0.174,"611_NNWells","NNWells",611,0
"615_NNWells",0,"0",0.572,0.428,"615_NNWells","NNWells",615,0
"624_NNWells",1,"1",0.342,0.658,"624_NNWells","NNWells",624,1
"625_NNWells",1,"1",0.12,0.88,"625_NNWells","NNWells",625,1
"629_NNWells",0,"0",0.964,0.036,"629_NNWells","NNWells",629,0
"634_NNWells",0,"0",0.782,0.218,"634_NNWells","NNWells",634,0
"640_NNWells",0,"0",0.532,0.468,"640_NNWells","NNWells",640,0
"645_NNWells",1,"0",0.676,0.324,"645_NNWells","NNWells",645,2
"649_NNWells",0,"0",0.606,0.394,"649_NNWells","NNWells",649,0
"654_NNWells",1,"1",0.248,0.752,"654_NNWells","NNWells",654,1
"659_NNWells",0,"1",0.356,0.644,"659_NNWells","NNWells",659,3
"661_NNWells",0,"1",0.422,0.578,"661_NNWells","NNWells",661,3
"664_NNWells",0,"0",0.79,0.21,"664_NNWells","NNWells",664,0
"671_NNWells",0,"0",0.668,0.332,"671_NNWells","NNWells",671,0
"679_NNWells",0,"0",0.674,0.326,"679_NNWells","NNWells",679,0
"682_NNWells",1,"0",0.812,0.188,"682_NNWells","NNWells",682,2
"683_NNWells",0,"0",0.666,0.334,"683_NNWells","NNWells",683,0
"687_NNWells",0,"1",0.486,0.514,"687_NNWells","NNWells",687,3
"1873_NNWells",0,"0",0.508,0.492,"1873_NNWells","NNWells",1873,0
"1885_NNWells",0,"1",0.404,0.596,"1885_NNWells","NNWells",1885,3
"1902_NNWells",0,"0",0.652,0.348,"1902_NNWells","NNWells",1902,0
"1907_NNWells",0,"0",0.586,0.414,"1907_NNWells","NNWells",1907,0
