"welldpth","latitude","longitude","u_ppb","state"
NA,39.0191,-105.3566,3.75,"CO"
NA,39.0191,-105.3566,3.06,"CO"
NA,39.0191,-105.3566,2.47,"CO"
NA,38.5689,-106.1656,3.15,"CO"
NA,38.5978,-106.1967,3.89,"CO"
NA,38.6167,-106.2075,3.96,"CO"
NA,38.7711,-106.4114,0.67,"CO"
NA,38.7825,-106.2625,1.6,"CO"
NA,38.6558,-106.1303,0.21,"CO"
NA,38.6567,-106.1333,0.25,"CO"
NA,38.6797,-106.3661,0.1,"CO"
NA,38.8697,-106.3653,0.14,"CO"
NA,38.8678,-106.3697,0.13,"CO"
NA,38.8472,-106.3831,0.11,"CO"
NA,38.8489,-106.3833,0.16,"CO"
NA,39.0206,-108.9969,2.09,"CO"
NA,38.7894,-106.4303,0.38,"CO"
NA,38.7906,-106.4272,1.03,"CO"
NA,38.7878,-106.4244,0.65,"CO"
NA,38.7764,-106.4275,0.72,"CO"
98,41.002,-102.182,40.78,"CO"
NA,38.7819,-106.4397,0.47,"CO"
NA,38.7994,-106.4322,0.1,"CO"
NA,38.8019,-106.4414,0.1,"CO"
NA,38.8036,-106.4561,0.15,"CO"
NA,38.4383,-106.4078,0.66,"CO"
NA,38.9372,-106.6575,1.14,"CO"
NA,39.2714,-108.8825,22.8,"CO"
NA,39.2508,-108.8892,3.68,"CO"
NA,38.9136,-106.5361,0.1,"CO"
NA,38.9139,-106.5372,0.1,"CO"
NA,38.6761,-106.5219,0.4,"CO"
NA,38.6767,-106.5211,0.2,"CO"
NA,38.6958,-106.6131,2.51,"CO"
NA,38.7025,-106.6097,4.17,"CO"
NA,38.7106,-106.6033,2.51,"CO"
NA,38.72,-106.6031,2.34,"CO"
NA,39.2553,-108.7669,5.89,"CO"
NA,36.7136,-109.8625,39.93,"AZ"
NA,39.2064,-108.9111,10.15,"CO"
NA,36.3728,-108.4822,9.93,"NM"
NA,36.1169,-103.8022,0.1,"NM"
NA,39.2256,-108.89,9.27,"CO"
NA,39.2325,-108.0047,13.09,"CO"
NA,39.2214,-108.0183,11.33,"CO"
NA,39.0072,-108.3092,0.08,"CO"
NA,39.0208,-108.215,0.02,"CO"
NA,39.0989,-108.1464,0.36,"CO"
NA,39.1839,-108.0439,0.63,"CO"
NA,39.1628,-108.0308,10.39,"CO"
NA,39.1306,-108.0319,0.76,"CO"
NA,39.1956,-108.0161,12.44,"CO"
NA,39.1892,-108.0611,1.57,"CO"
NA,39.1708,-108.0939,14.71,"CO"
NA,39.8894,-108.18,0.46,"CO"
NA,39.6694,-108.1881,1.57,"CO"
NA,38.2722,-108.3953,0.89,"CO"
NA,37.0133,-108.8528,0.52,"CO"
NA,37.2017,-108.0775,0.34,"CO"
NA,37.1972,-108.0886,17.5,"CO"
NA,39.0647,-109.5881,4.17,"UT"
NA,37.2572,-108.0322,0.67,"CO"
NA,38.2864,-108.4508,1.41,"CO"
NA,39.2375,-108.7283,10.26,"CO"
NA,39.2114,-108.6611,7.61,"CO"
NA,37.2897,-108.04,0.37,"CO"
NA,37.2156,-108.3369,6.16,"CO"
NA,37.2169,-108.3392,2.8,"CO"
NA,37.1786,-108.3694,3.27,"CO"
NA,37.0753,-108.1653,11.2,"CO"
NA,37.06,-108.1739,9.9,"CO"
NA,37.0597,-108.1719,9.8,"CO"
NA,37.3322,-108.0583,0.17,"CO"
NA,37.0136,-108.1964,1.53,"CO"
NA,37.9803,-108.3403,2.03,"CO"
NA,37.0125,-108.1992,1.49,"CO"
NA,37.0639,-108.6575,0.21,"CO"
NA,37.3025,-108.1906,3.4,"CO"
NA,37.3014,-108.1872,5.27,"CO"
NA,37.3206,-108.1547,0.49,"CO"
NA,37.1003,-108.4633,0.7,"CO"
NA,37.3292,-108.1167,0.38,"CO"
NA,37.3275,-108.1164,0.53,"CO"
NA,37.0675,-108.3183,0.1,"CO"
NA,37.0969,-108.2631,7.8,"CO"
NA,37.0906,-108.2397,16.5,"CO"
NA,37.1189,-108.1981,2.13,"CO"
NA,37.1164,-108.1964,1.3,"CO"
NA,37,-108.1881,2.26,"CO"
NA,37.1031,-108.0958,13.2,"CO"
NA,37.1036,-108.0942,5.1,"CO"
NA,37.0747,-108.1333,13,"CO"
NA,37.0756,-108.1375,12.5,"CO"
NA,37.0906,-108.1456,14.2,"CO"
NA,37.1522,-108.2567,15.1,"CO"
NA,37.1464,-108.215,1.65,"CO"
NA,37.1794,-108.21,1.8,"CO"
NA,37.2178,-108.2231,2.08,"CO"
NA,37.2386,-108.2153,1.26,"CO"
NA,37.2572,-108.2139,1.91,"CO"
NA,37.2869,-108.1989,1.63,"CO"
NA,37.2858,-108.1969,0.49,"CO"
NA,37.2589,-108.0908,0.1,"CO"
