"well_id","U","As","Fl_combined"
437,NA,10,NA
438,NA,18.3,NA
439,NA,10,NA
440,NA,10,NA
441,NA,10,NA
442,NA,10,NA
443,NA,4.2,NA
444,NA,10,NA
445,NA,10,NA
446,NA,10,NA
447,NA,10,NA
448,NA,10,NA
449,NA,10,NA
450,NA,10,NA
451,NA,2.6,NA
452,NA,10,NA
453,NA,10,NA
454,NA,4.8,NA
455,NA,10,NA
456,NA,10,NA
457,NA,3.6,NA
458,NA,11.4,NA
459,NA,9.1,NA
460,NA,6.6,NA
461,NA,9.7,NA
462,NA,4.3,NA
463,NA,10,NA
464,NA,6,NA
468,NA,3.5,NA
469,NA,10,NA
470,NA,9.8,NA
471,NA,5.7,NA
472,42,6.33333333333333,0.332
473,NA,5.1,NA
474,NA,5.8,NA
475,NA,4.1,NA
476,NA,8,NA
477,NA,10,NA
478,NA,4.2,NA
479,1,2.6,NA
480,NA,4.1,NA
481,3.1,5.465,0.131
482,NA,6.06,NA
483,NA,11.4,NA
484,9.53485143533333,17.199463357,NA
485,NA,2.3,NA
486,NA,2.7,NA
487,31,5.35,0.312
488,30.2529634766667,2.7557061275,0.187
489,21,5.25,0.386
493,NA,10,NA
494,NA,7.89,NA
495,NA,4.21,NA
496,NA,10,NA
497,NA,10,NA
498,NA,10,NA
499,NA,NA,NA
500,2,3,NA
501,35,10.7,1.78
502,NA,NA,0.6
503,18.610328475,3.51227673866667,0.326
504,NA,NA,NA
505,NA,NA,NA
506,7.09039545348,1.1064508266,NA
509,480.5076381,195.30102765,12.03979204
511,16.3238337454545,0.674118174916667,0.80768439
512,4.63352450253846,2.36253375728571,1.39740272833333
513,NA,NA,2.7
524,NA,1,0.25
541,NA,10,NA
542,9.1453755583,2.81413804938462,NA
543,51.197320775,3.2806234055,9.411126962
544,NA,7.54,1.52
545,16.6087045506897,27.9157772879,0.45
546,3.3,2.755,0.28
547,0.555892231307692,15.830956108,0.26
550,3.6,1.8,0.184
551,2.5,0.51,0.629
552,125,39.5,2.135
553,2.5,0.5,0.48
554,5.2,5.3,0.579
555,7.8,6.1,0.63
556,4,8,0.507
557,5.7,7.5,0.778
565,1,2,NA
566,1,2.5,NA
567,3,12.5,NA
569,28.6227931163333,4.93377802653846,NA
570,5.3440960078,1.23468156416667,NA
571,1,1,NA
574,41.8581062508333,18.4274648564286,NA
575,19.2793311211667,90.72906847,NA
576,4,2,NA
577,1,3.5,NA
584,6,1,NA
585,NA,NA,NA
586,1,1,NA
587,1,1,NA
588,NA,NA,NA
589,1.32448276744444,1.59188317625,NA
590,8.60753153018182,0.918765730928571,NA
591,1,3,NA
592,3.46472007688889,1.22934369522222,NA
593,12,1,NA
594,1,1,NA
595,1,1,NA
596,1,4,NA
597,1,1,NA
598,3,1,NA
599,4,1,NA
600,1,1,NA
601,1,1,NA
603,2.16666666666667,8.5,0.75
604,1,1,NA
605,7.81362077595455,28.1942373855,NA
606,22.9239501,0.816653139833333,NA
607,NA,NA,NA
608,5,1,NA
609,1,1,NA
610,2,1,NA
611,1,2,NA
612,1,1,NA
613,1,1,NA
614,1,1,NA
615,1,1,NA
616,1,1,NA
617,15,1,NA
619,2,1,NA
620,NA,NA,NA
621,1,1,NA
623,2,1,NA
624,1,16,NA
625,0.698956678466667,15.9487764216667,NA
628,2,1,NA
629,2,3,NA
630,7.28556363515,6.10723251184615,NA
631,NA,NA,NA
632,NA,NA,NA
633,3.58538316557143,32.167062478,NA
634,6,2,NA
635,9.9302499686,17.0937656778571,NA
637,6,1,NA
638,4,2,NA
639,0.5398764155,0.614790484875,NA
640,1,2,NA
641,7,3,NA
642,22,17,NA
643,4.10727339978571,1.2238014253125,0.19
644,2,10,NA
645,1,6,NA
646,1,21,NA
647,15,55,NA
648,9,3,0.833333333333333
649,1,1,NA
650,10.1144118625,14.2193194425,NA
651,585,3.95,0.42
652,1,1,NA
653,6,1,NA
654,51,21,NA
655,26,1,NA
656,27,1,NA
657,1,1,NA
658,7.7962226755,1.4556676575,NA
659,13.80125111,1.325416172,NA
660,14,2,NA
661,28,1,NA
662,1,1,NA
663,1,1,NA
664,1,1,NA
665,1,1,NA
666,NA,NA,NA
667,NA,NA,NA
668,1,1,NA
670,3,3,NA
671,1,1,NA
672,1,1,NA
673,1.00304578075,2.125754793,NA
674,1.10474645575,3.09558124175,NA
675,1,1,NA
676,2,2.5,NA
678,1,2,NA
679,16,2,NA
680,7,4,NA
681,4,3,NA
682,2,5.5,NA
683,1,1,NA
684,3,8,NA
685,1.5,5,NA
686,NA,NA,NA
687,15,2,NA
688,46,2,NA
689,NA,NA,NA
690,NA,NA,NA
691,NA,NA,NA
692,NA,NA,0.8
693,NA,NA,NA
694,NA,NA,NA
695,NA,NA,NA
857,NA,NA,0.5
858,2.1,NA,NA
860,3.1,NA,NA
861,2.6,NA,NA
862,1.7,NA,NA
864,2.4,NA,NA
865,1.9,NA,NA
867,0.9,NA,NA
868,NA,NA,1.7
870,0.38,NA,0.2
872,0.95,NA,NA
873,1.9,NA,NA
875,1.6,NA,0.2
876,1.2,NA,NA
877,1.4,NA,NA
878,0.89,NA,NA
879,NA,NA,2.7
880,NA,NA,4
883,NA,NA,1.9
884,NA,NA,0.5
885,2.6,NA,NA
887,26.875,NA,NA
891,0.9,NA,NA
892,1.7,NA,0.2
893,0.47,NA,0.3
894,3.7,NA,0.3
919,1.84592466566667,2.110802715,NA
920,NA,NA,NA
940,NA,NA,NA
