"","OID_","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","SiteID","y_pred","C1","C2","C3"
"869",1943,"As","Dissolved",6.5,152765,"C3",0.302666455507278,0.118251472711563,0.579082071781158
"884",243,"As","Dissolved",1,271304,"C1",0.94552606344223,0.0224720519036055,0.0320018976926804
"892",1555,"As","Dissolved",0,247241,"C1",0.986348986625671,0.00592567771673203,0.00772540923207998
"901",1397,"As","Dissolved",1,247028,"C1",0.988041996955872,0.00603709556162357,0.00592088093981147
"915",1520,"As","Dissolved",8,247182,"C1",0.988319039344788,0.00641291216015816,0.00526802940294147
"917",432,"As","Dissolved",4,48891,"C2",0.22037361562252,0.755167424678802,0.0244589541107416
"929",295,"As","Dissolved",4,46606,"C1",0.807628333568573,0.166826188564301,0.025545496493578
"937",1122,"As","Dissolved",0.63,51876,"C1",0.71264386177063,0.0643201470375061,0.223035991191864
"941",90,"As","Dissolved",2,41936,"C1",0.935632705688477,0.028691565617919,0.0356757342815399
"952",1672,"As","Dissolved",0,247396,"C1",0.972829520702362,0.009505745023489,0.0176647137850523
"963",563,"As","Dissolved",0.8,154792,"C1",0.959341764450073,0.0175947248935699,0.0230634715408087
"968",932,"As","Dissolved",0,269026,"C1",0.968400657176971,0.0127684380859137,0.0188309513032436
"972",887,"As","Dissolved",8,50942,"C3",0.281772136688232,0.0326481088995934,0.685579776763916
"983",1815,"As","Dissolved",10.2,258531,"C1",0.730003297328949,0.196100935339928,0.073895774781704
"995",755,"As","Dissolved",4,50364,"C1",0.554753661155701,0.38482278585434,0.0604235418140888
"1004",477,"As","Dissolved",1,49060,"C1",0.92283833026886,0.0645024180412292,0.0126592814922333
"1012",779,"As","Dissolved",5,50445,"C1",0.724262058734894,0.206431105732918,0.0693068131804466
"1017",39,"As","Dissolved",3.4,39945,"C1",0.985307455062866,0.00694258650764823,0.00774998310953379
"1018",1800,"As","Dissolved",2.1,258484,"C1",0.860532999038696,0.0916549637913704,0.0478121042251587
"1021",1826,"As","Dissolved",6,255849,"C1",0.736078381538391,0.033090379089117,0.230831250548363
"1022",475,"As","Dissolved",16,49038,"C3",0.171188190579414,0.0322758555412292,0.796535968780518
"1033",1193,"As","Dissolved",0,269977,"C1",0.893044948577881,0.090020626783371,0.0169344451278448
"1035",56,"As","Dissolved",0,41127,"C1",0.927097916603088,0.0307930428534746,0.042109090834856
"1040",1377,"As","Dissolved",1,246388,"C1",0.953188180923462,0.0135430134832859,0.0332688391208649
"1044",871,"As","Dissolved",0,155554,"C3",0.437677383422852,0.0767725184559822,0.485550075769424
"1047",1181,"As","Dissolved",0,154236,"C1",0.851273119449615,0.055799774825573,0.092927061021328
"1050",1679,"As","Dissolved",2,261597,"C1",0.889200270175934,0.0537602826952934,0.0570394620299339
"1063",1450,"As","Dissolved",14.7,264570,"C2",0.054268404841423,0.745189368724823,0.200542211532593
"1064",169,"As","Dissolved",7,43548,"C1",0.43353334069252,0.329176366329193,0.237290322780609
"1066",479,"As","Dissolved",17,49078,"C1",0.836687982082367,0.132264286279678,0.0310477092862129
"1072",1419,"As","Dissolved",4,247050,"C1",0.988151729106903,0.00562581839039922,0.00622245483100414
"1076",208,"As","Dissolved",1,271234,"C1",0.86067259311676,0.0188305489718914,0.120496869087219
"1086",444,"As","Dissolved",1,48934,"C1",0.975655376911163,0.0116510028019547,0.0126935644075274
"1087",1033,"As","Dissolved",4,269521,"C1",0.949146687984467,0.0302171539515257,0.0206361617892981
"1089",1383,"As","Dissolved",11.5,264309,"C1",0.536870002746582,0.25690746307373,0.206222534179688
"1093",59,"As","Dissolved",11,41223,"C1",0.87540864944458,0.0244528278708458,0.100138530135155
"1101",344,"As","Dissolved",2,47752,"C2",0.411080002784729,0.437385231256485,0.151534795761108
"1108",1017,"As","Dissolved",5,269506,"C1",0.771493792533875,0.120489165186882,0.108017042279243
"1117",658,"As","Dissolved",2,49859,"C1",0.945295691490173,0.0383744426071644,0.0163298565894365
"1118",1553,"As","Dissolved",2,246453,"C1",0.988575160503387,0.00521195912733674,0.00621286779642105
"1121",1512,"As","Dissolved",1,246441,"C1",0.984355747699738,0.00684873014688492,0.00879546161741018
"1130",217,"As","Dissolved",0,44568,"C1",0.953216552734375,0.0261460449546576,0.0206374302506447
"1132",1521,"As","Dissolved",1,246443,"C1",0.97690212726593,0.00863676611334085,0.0144610898569226
"1134",7,"As","Dissolved",1,7275,"C1",0.98107373714447,0.0091631980612874,0.0097631448879838
"1137",1673,"As","Dissolved",0,247400,"C1",0.983262896537781,0.00623917207121849,0.0104978876188397
"1140",1939,"As","Dissolved",0,152759,"C3",0.221807569265366,0.0706647485494614,0.707527697086334
"1147",1670,"As","Dissolved",1,247392,"C1",0.969709098339081,0.0112102245911956,0.0190807189792395
"1155",594,"As","Dissolved",7.4,49554,"C1",0.983189702033997,0.00846770219504833,0.00834261905401945
"1159",1402,"As","Dissolved",12.8,264377,"C3",0.0583479218184948,0.047558318823576,0.894093692302704
"1165",1720,"As","Dissolved",3.9,257307,"C1",0.872873187065125,0.0626379922032356,0.0644888132810593
"1172",1389,"As","Dissolved",0,247009,"C1",0.976862788200378,0.0129432044923306,0.0101939579471946
"1174",1569,"As","Dissolved",0.1,264832,"C1",0.800161719322205,0.0938555523753166,0.105982713401318
"1182",1663,"As","Dissolved",0,247385,"C1",0.962681233882904,0.00947891362011433,0.027839832007885
"1196",1861,"As","Dissolved",51.7,152916,"C1",0.873993217945099,0.043148510158062,0.0828582122921944
"1204",1195,"As","Dissolved",0,269982,"C1",0.907140135765076,0.0772629603743553,0.0155968768522143
"1211",1590,"As","Dissolved",0,247292,"C1",0.977768242359161,0.00830015353858471,0.0139316143468022
"1224",1140,"As","Dissolved",3.1,51962,"C1",0.948255300521851,0.0246274210512638,0.0271172095090151
"1229",1194,"As","Dissolved",0,269976,"C1",0.906977832317352,0.0776956081390381,0.0153265986591578
"1233",1593,"As","Dissolved",0.17,246469,"C1",0.928062736988068,0.0166761819273233,0.0552610978484154
"1234",1330,"As","Dissolved",0,246892,"C1",0.98373943567276,0.00834742281585932,0.00791318155825138
"1235",308,"As","Dissolved",2,46845,"C1",0.899638772010803,0.0865849554538727,0.0137762520462275
"1238",63,"As","Dissolved",0,41379,"C1",0.937854766845703,0.0240447111427784,0.0381004996597767
"1243",608,"As","Dissolved",0,49636,"C1",0.982455968856812,0.00960006285458803,0.00794397480785847
"1249",532,"As","Dissolved",1,49260,"C1",0.948159158229828,0.0385264009237289,0.0133143905550241
"1250",1961,"As","Dissolved",2.2,152863,"C1",0.940694272518158,0.0331341288983822,0.0261716190725565
