"","OID_","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","SiteID","y_pred","C1","C2","C3"
"1717",1516,"As","Dissolved",1,247174,"C1",0.986099541187286,0.00797016452997923,0.00593021977692842
"1718",438,"As","Dissolved",7,8146,"C2",0.431430667638779,0.467510759830475,0.101058557629585
"1722",1364,"As","Dissolved",2,246378,"C1",0.970584452152252,0.00982739217579365,0.0195881724357605
"1730",667,"As","Dissolved",0.53,49910,"C1",0.892256736755371,0.0220160651952028,0.0857272073626518
"1742",535,"As","Dissolved",0,49270,"C1",0.968747794628143,0.0172697622328997,0.0139824524521828
"1749",1818,"As","Dissolved",1.2,255823,"C1",0.878834843635559,0.0466188937425613,0.0745462775230408
"1750",114,"As","Dissolved",5,7745,"C1",0.932990908622742,0.0237832181155682,0.0432258360087872
"1751",1715,"As","Dissolved",3,248708,"C1",0.942243158817291,0.0336781963706017,0.0240786671638489
"1764",1863,"As","Dissolved",10.3,152923,"C3",0.176089704036713,0.391641348600388,0.432268917560577
"1767",443,"As","Dissolved",4,48922,"C1",0.766462326049805,0.205224052071571,0.0283136256039143
"1773",442,"As","Dissolved",3,48918,"C1",0.779816567897797,0.193182244896889,0.027001179754734
"1781",1545,"As","Dissolved",1,247222,"C1",0.989521503448486,0.00476319529116154,0.00571533804759383
"1795",1949,"As","Dissolved",1,152790,"C1",0.882864654064178,0.087519645690918,0.0296156797558069
"1801",1552,"As","Dissolved",0,246452,"C1",0.988387286663055,0.00514903105795383,0.0064637204632163
"1805",575,"As","Dissolved",4,49441,"C1",0.9526007771492,0.0259577054530382,0.0214415099471807
"1807",1372,"As","Dissolved",0,246385,"C1",0.970178782939911,0.00982344429939985,0.0199977532029152
"1810",590,"As","Dissolved",1,49549,"C1",0.968569040298462,0.0202136225998402,0.0112173212692142
"1814",1332,"As","Dissolved",1,246337,"C1",0.948410034179688,0.0299124699085951,0.0216774865984917
"1820",910,"As","Dissolved",0,268968,"C1",0.961085081100464,0.0145095149055123,0.024405462667346
"1839",983,"As","Dissolved",0,269467,"C1",0.95167738199234,0.018902825191617,0.0294198356568813
"1845",428,"As","Dissolved",8,48886,"C2",0.232411175966263,0.742175042629242,0.0254137497395277
"1847",807,"As","Dissolved",0,50546,"C1",0.946064889431,0.0258364621549845,0.0280986502766609
"1856",1124,"As","Dissolved",11,269727,"C1",0.942956805229187,0.0119917411357164,0.0450514033436775
"1863",1691,"As","Dissolved",0.79,261719,"C1",0.935981631278992,0.0477591902017593,0.0162592381238937
"1866",1631,"As","Dissolved",0,247346,"C1",0.988134741783142,0.00552720529958606,0.00633803615346551
"1888",1501,"As","Dissolved",1,246432,"C1",0.989132702350616,0.00511443102732301,0.00575290620326996
"1891",1428,"As","Dissolved",0,247063,"C1",0.98749566078186,0.00626873830333352,0.00623562559485435
"1894",1667,"As","Dissolved",1,247389,"C1",0.979045391082764,0.0100182220339775,0.0109363822266459
"1896",275,"As","Dissolved",10,271370,"C3",0.462978273630142,0.043499544262886,0.493522137403488
"1903",595,"As","Dissolved",12.7,154837,"C1",0.51253604888916,0.21005092561245,0.277413010597229
"1911",1953,"As","Dissolved",0,152828,"C1",0.923202574253082,0.0513474382460117,0.0254499949514866
"1915",653,"As","Dissolved",17.6,155125,"C3",0.0682819485664368,0.0204549450427294,0.911263108253479
"1917",1842,"As","Dissolved",0,150006,"C1",0.955510795116425,0.0136086670681834,0.0308805853128433
"1918",2005,"As","Dissolved",0,151412,"C1",0.847496211528778,0.126288637518883,0.0262151900678873
"1921",253,"As","Dissolved",2.9,45679,"C1",0.587833762168884,0.333034813404083,0.0791313722729683
"1925",1453,"As","Dissolved",2,247096,"C1",0.985902905464172,0.00807144399732351,0.00602568592876196
"1928",621,"As","Dissolved",0,49683,"C1",0.937190532684326,0.0386437959969044,0.0241656675934792
"1930",309,"As","Dissolved",3,46860,"C1",0.819368898868561,0.155685588717461,0.0249455273151398
"1934",1338,"As","Dissolved",0,246897,"C1",0.961905002593994,0.0176645405590534,0.0204304326325655
"1935",1036,"As","Dissolved",1.8,51437,"C1",0.965977191925049,0.0161101389676332,0.0179126560688019
"1945",190,"As","Dissolved",17.5,43885,"C3",0.279743880033493,0.147682145237923,0.572573959827423
"1946",555,"As","Dissolved",0.4,154784,"C1",0.96822452545166,0.0136755900457501,0.0180999003350735
"1948",1560,"As","Dissolved",4,247246,"C1",0.987581133842468,0.00643251789733768,0.00598637294024229
"1957",770,"As","Dissolved",4.1,8347,"C1",0.91424298286438,0.0617120489478111,0.0240449421107769
"1966",1155,"As","Dissolved",4,269803,"C1",0.94276225566864,0.0148041462525725,0.0424335449934006
"1972",2007,"As","Dissolved",1,151444,"C1",0.936486601829529,0.0419169962406158,0.021596422418952
"1982",203,"As","Dissolved",9,44106,"C1",0.494961053133011,0.326124161481857,0.178914785385132
"1984",1432,"As","Dissolved",15.2,264493,"C3",0.0579504854977131,0.150841742753983,0.791207790374756
"1995",1831,"As","Dissolved",4,253137,"C3",0.417338281869888,0.043612964451313,0.539048731327057
"1999",530,"As","Dissolved",1,49256,"C1",0.968687832355499,0.0200088266283274,0.0113033326342702
"2003",1916,"As","Dissolved",2.7,152673,"C1",0.947928309440613,0.018779968842864,0.0332917682826519
"2005",1838,"As","Dissolved",1,149994,"C1",0.967063009738922,0.0110182100906968,0.0219187550246716
