"","i","Train_Error","Train_SD","Test_Error","Test_SD"
"1",1,0.915850515463917,0.00216594540128499,0.766066066066066,0.0049115397098487
"2",2,0.915077319587629,0.001538316544628,0.765165165165165,0.00227713977298844
"3",3,0.915077319587629,0.00123939330294274,0.764264264264264,0.00260067688824155
"4",4,0.914948453608247,0.0015110875514895,0.765765765765766,0.00300300300300299
"5",5,0.916623711340206,0.00117048338431604,0.766366366366366,0.00311357978278193
"6",6,0.915721649484536,0.00263309494094104,0.765465465465465,0.00513592533828443
"7",7,0.914175257731959,0.00190050015512275,0.764864864864865,0.00272761293161934
"8",8,0.914819587628866,0.00200675405958729,0.765765765765766,0.00106172189367347
"9",9,0.915335051546392,0.00221334588109763,0.764564564564565,0.00388654027193538
"10",10,0.915335051546392,0.00252031020819689,0.763063063063063,0.0032551776859878
"11",11,0.914432989690722,0.00263309494094104,0.762762762762763,0.00150150150150152
"12",12,0.914561855670103,0.00247878660588547,0.761861861861862,0.0040568336594914
"13",13,0.915592783505155,0.0015110875514895,0.766066066066066,0.00442879315428008
"14",14,0.914046391752577,0.00117048338431604,0.765465465465465,0.00442879315428007
"15",15,0.915077319587629,0.00139687392968291,0.765765765765766,0.0035213331530206
"16",16,0.915077319587629,0.00238489117568578,0.767267267267267,0.00367791252670148
"17",17,0.915335051546392,0.00256116068483914,0.764264264264264,0.00486542094475066
"18",18,0.915721649484536,0.00105874205703318,0.763363363363363,0.00481886082158597
"19",19,0.914690721649485,0.00293859645644107,0.763063063063063,0.00325517768598781
"20",20,0.913788659793814,0.00160436850489545,0.767567567567567,0.00195771844000082
"21",21,0.914175257731959,0.00263309494094104,0.761261261261261,0.00450450450450448
"22",22,0.913015463917526,0.0018785283166383,0.763663663663664,0.00515782703823351
"23",23,0.914175257731959,0.00234096676863207,0.764264264264264,0.00352133315302058
"24",24,0.915850515463917,0.00107817013728618,0.767567567567568,0.00402895131081045
"25",25,0.914690721649485,0.00211748411406636,0.763063063063063,0.00288819580505577
"26",26,0.913144329896907,0.00178794290277211,0.765465465465465,0.00222708663276144
"27",27,0.915463917525773,0.00105874205703318,0.765765765765766,0.00300300300300299
"28",28,0.916752577319588,0.00139687392968291,0.766066066066066,0.00358478570159559
"29",29,0.913659793814433,0.00261728041386467,0.767267267267267,0.00212344378734702
"30",30,0.913530927835052,0.00306987867256999,0.762462462462462,0.00455427954597693
"31",31,0.915077319587629,0.00359903093911569,0.763963963963964,0.00535090981417583
"32",32,0.914046391752577,0.00201707162918795,0.762162162162162,0.00493443745500152
"33",33,0.914819587628866,0.00115261235953597,0.763963963963964,0.00268596754054029
"34",34,0.912886597938144,0.0022039473423308,0.766066066066066,0.00358478570159559
"35",35,0.914432989690722,0.00229620227850585,0.764864864864865,0.00504736826245396
"36",36,0.916752577319588,0.00160436850489545,0.766066066066066,0.00268596754054028
"37",37,0.91430412371134,0.00164272535876056,0.763963963963964,0.00246721872750073
"38",38,0.913788659793814,0.0030358811828324,0.764564564564565,0.00402895131081044
"39",39,0.915077319587629,0.00115261235953597,0.763363363363363,0.00391543688000159
"40",40,0.915335051546392,0.00133611091194121,0.764564564564565,0.00455427954597692
"41",41,0.914561855670103,0.00216594540128499,0.766066066066066,0.00524451927825013
"42",42,0.914432989690722,0.0022039473423308,0.763663663663664,0.0037687388582616
"43",43,0.913917525773196,0.00221334588109763,0.763363363363363,0.00311357978278194
"44",44,0.914432989690722,0.00139687392968291,0.768168168168168,0.00537193508108058
"45",45,0.914175257731959,0.00166780658576607,0.765765765765766,0.00183895626335072
"46",46,0.91430412371134,0.0018785283166383,0.767567567567568,0.00288819580505575
"47",47,0.914561855670103,0.0032409217371029,0.763663663663664,0.00272761293161936
"48",48,0.915077319587629,0.00242802109296607,0.762162162162162,0.00405683365949139
"49",49,0.915335051546392,0.0026799786524595,0.765165165165165,0.003289624970001
"50",50,0.91430412371134,0.00218502898940891,0.766366366366366,0.00227713977298844
"51",51,0.914690721649485,0.00133611091194121,0.766066066066066,0.00246721872750074
"52",52,0.91701030927835,0.00123939330294274,0.765765765765766,0.00183895626335072
