"welldpth","latitude","longitude","u_dn_ppb","u_fl_ppb","state"
NA,37.6717,-107.5197,NA,-0.1,"CO"
NA,39.015,-105.8561,NA,1.74,"CO"
NA,39.0194,-105.793,NA,2.88,"CO"
NA,39.0194,-105.793,NA,2.96,"CO"
NA,39.0194,-105.793,NA,2.06,"CO"
NA,39.0161,-105.7766,NA,2.92,"CO"
NA,39.0161,-105.7766,NA,3.3,"CO"
NA,39.0161,-105.7766,NA,3.64,"CO"
NA,39.0136,-105.7619,NA,3.64,"CO"
NA,39.0136,-105.7619,NA,2.24,"CO"
NA,39.0136,-105.7619,NA,1.48,"CO"
NA,39.0241,-105.8177,NA,3.93,"CO"
NA,37.6767,-107.5231,NA,-0.1,"CO"
NA,39.0241,-105.8177,NA,6.54,"CO"
NA,39.0241,-105.8177,NA,2.26,"CO"
NA,39.0483,-105.8397,NA,6.77,"CO"
NA,37.6767,-107.5231,NA,-0.1,"CO"
NA,39.0483,-105.8397,NA,6.59,"CO"
NA,39.0483,-105.8397,NA,6.33,"CO"
NA,39.0213,-105.8019,NA,3.53,"CO"
NA,39.0213,-105.8019,NA,3.64,"CO"
NA,39.0213,-105.8019,NA,3.08,"CO"
NA,39.0025,-105.708,NA,2.97,"CO"
NA,39.0025,-105.708,NA,3.87,"CO"
NA,39.0025,-105.708,NA,3.3,"CO"
NA,39.0186,-105.7555,NA,3.4,"CO"
NA,39.0186,-105.7555,NA,2.1,"CO"
NA,37.7353,-107.5333,NA,-0.1,"CO"
NA,39.0186,-105.7555,NA,1.14,"CO"
NA,39.018,-105.7933,NA,0.98,"CO"
NA,39.018,-105.7933,NA,0.3,"CO"
NA,39.018,-105.7933,NA,0.1,"CO"
NA,39.0236,-105.6308,NA,0.97,"CO"
NA,39.0236,-105.6308,NA,0.21,"CO"
NA,39.0236,-105.6308,0.7,0.7,"CO"
NA,39.1094,-105.8908,NA,4.23,"CO"
NA,39.1094,-105.8908,NA,1.65,"CO"
NA,37.7353,-107.5769,NA,0.14,"CO"
NA,39.1094,-105.8908,NA,1.51,"CO"
NA,39.1672,-105.9441,2.1,2.1,"CO"
NA,39.1672,-105.9441,NA,2.43,"CO"
NA,39.1672,-105.9441,NA,1.96,"CO"
NA,39.2194,-105.9938,1.6,1.6,"CO"
NA,39.2194,-105.9938,NA,6.09,"CO"
NA,39.2194,-105.9938,NA,1.88,"CO"
NA,39.2194,-105.9938,NA,4.85,"CO"
