"","well_id","Alkalinity","As","B","Bicarbonate","Ca","Carbonate","Fe","pH","Si","SO4-","SpecificConductance","U"
"544",1564,NA,NA,NA,NA,63.3,NA,10,7.95,11.3,27,364,NA
"545",1565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1470,NA
"546",1567,NA,0.9191185805,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.711388244
"547",1569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,675,NA
"548",1570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,750,NA
"549",1571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,896,NA
"550",1572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2110,NA
"551",1573,NA,NA,NA,NA,241,NA,30,7.75,11.3,1040,2060,NA
"552",1576,348,NA,7600,425,290,NA,1600,7.45,10,6000,20700,NA
"553",1581,NA,3,NA,NA,3,NA,990,9.41,NA,NA,NA,3
"554",1582,NA,NA,NA,224.5,206,10.5,30,8,20,895,2050,NA
"555",1587,NA,1.701827631,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.15371955
"556",1588,NA,11,68,NA,24,NA,110,7.97,NA,NA,NA,130
"557",1590,NA,0.842234214,50,NA,26,NA,120,7.41,NA,11.6,NA,3.842728191
"558",1591,NA,4.955354401,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.316156765
"559",1629,NA,NA,NA,174,298,0,30.8,7.55,20.2,1175.5,1520,NA
"560",1631,NA,NA,250,330,585,0,NA,7,22,1910,3280,NA
"561",1736,NA,9.941690407,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.022502948
"562",1739,NA,NA,NA,148,7.1,0,NA,NA,11,38,329,NA
"563",1747,NA,NA,NA,194,17,0,NA,NA,17,31,364,NA
"564",1752,NA,8,NA,NA,34,NA,60,8.65,NA,NA,NA,9
"565",1753,NA,1,NA,NA,34,NA,240,8.25,NA,NA,NA,3
"566",1770,NA,0.7477256085,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6864961185
"567",1775,NA,NA,470,NA,11,NA,30,8.75,11,1200,4350,NA
"568",1776,NA,1,NA,NA,6,NA,40,8.39,NA,NA,NA,1
"569",1798,NA,4.1847535095,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.816832067
"570",1812,NA,NA,NA,NA,23,NA,NA,8,19,37,227.5,NA
"571",1817,NA,NA,890,NA,2.5,NA,180,8.6,10,150,1410,NA
"572",1819,NA,23,NA,NA,13,NA,NA,8.65,13,35,465.5,NA
"573",1820,340,NA,200,341,1.15,40.5,20,9.05,7.55,49.5,840,NA
"574",1823,516,NA,310,638.5,51,NA,1250,7.3,10,2575,9080,NA
"575",1824,399,4,185,519,7,16,150,8.6,9.75,559,2820,NA
"576",1828,NA,2.6472607255,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3323830045
"577",1832,NA,NA,NA,221,29,0,NA,NA,16,17,388,NA
"578",1834,NA,NA,NA,136,33,0,NA,NA,15,48,384,NA
"579",1835,NA,NA,NA,261,34,0,NA,NA,15,86,679,NA
"580",1836,NA,NA,NA,199,70,0,NA,NA,15,361,1030,NA
"581",1837,NA,NA,NA,195,9.5,0,NA,NA,14,16,354,NA
"582",1838,NA,NA,NA,149,43,0,NA,NA,16,54,384,NA
"583",1840,NA,NA,NA,249,46,0,NA,NA,17,21,506,NA
"584",1841,NA,NA,NA,127,36,0,NA,NA,18,43,359,NA
"585",1850,416,NA,2800,508,90,NA,100,7.7,11,2800,17800,NA
"586",1862,NA,0.542620275,NA,NA,220,NA,490,7.3,NA,NA,NA,0.832024955
"587",1864,NA,1,NA,NA,86,NA,260,7.68,NA,NA,NA,12
"588",1871,NA,0.542620275,NA,NA,130,NA,200,8.11,NA,NA,NA,1.791972745
"589",1872,NA,1,NA,NA,26,NA,160,9.25,NA,NA,NA,32
"590",1873,NA,2,NA,NA,99,NA,400,8.16,NA,NA,NA,10
"591",1875,NA,1,NA,NA,110,NA,360,8.07,NA,NA,NA,12
"592",1885,NA,1,NA,NA,49,NA,290,9.46,NA,NA,NA,21
"593",1888,NA,0.08524055,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.203859346
"594",1894,NA,6.43705797,NA,NA,17,NA,150,8.37,NA,NA,NA,25.00262908
"595",1901,NA,1,NA,NA,660,NA,700,7.68,NA,NA,NA,1
"596",1902,NA,1,NA,NA,541.5,NA,365,7.82,NA,NA,NA,20
"597",1905,NA,10,NA,NA,333,NA,4240,8.79,NA,NA,NA,NA
"598",1906,NA,0.252990918,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.31846557
"599",1907,NA,0.69,640,NA,382,NA,560,7.075,NA,NA,NA,31
"600",1908,NA,3.801122099,NA,NA,7,NA,80,8.55,NA,NA,NA,1.867795803
"601",1910,NA,9,NA,NA,57,NA,200,8.24,NA,NA,NA,11
"602",1913,NA,2,NA,NA,230,NA,1500,7.88,NA,NA,NA,1
"603",1918,NA,0.75,900,NA,225.6,NA,495,7.67,NA,NA,NA,39.5
"604",1943,NA,4,NA,NA,99,NA,80,8.54,NA,NA,NA,4
"605",1944,NA,2,NA,NA,150,NA,3200,8.07,NA,NA,NA,4
"606",1945,NA,0.4233767105,NA,NA,220,NA,1300,7.3,NA,NA,NA,1.161344729
"607",1946,NA,1,NA,NA,65,NA,140,8.11,NA,NA,NA,17
"608",1948,NA,4,NA,NA,19,NA,4900,9.32,NA,NA,NA,9
"609",1953,NA,1,NA,NA,110,NA,10,8.19,NA,NA,NA,4
"610",1954,NA,1,NA,NA,120,NA,60,7.42,NA,NA,NA,9
"611",1959,NA,0.317190276,NA,NA,64,NA,210,8.14,NA,NA,NA,6.424921528
"612",1964,NA,NA,NA,NA,NA,NA,NA,8.14,NA,NA,NA,NA
"613",1966,NA,1,NA,NA,88,NA,140,8.29,NA,NA,NA,6
"614",1970,NA,0.085240545,NA,NA,420,NA,120,7.78,NA,NA,NA,0.4644512425
"615",1972,NA,0.08524055,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.670034649
"616",1977,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"617",1984,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,NA
"618",1987,NA,1,NA,NA,26,NA,245,8.38,NA,NA,NA,1
"619",1989,NA,1,NA,NA,13,NA,250,8.56,NA,NA,NA,1
"620",1993,NA,1,NA,NA,14,NA,420,8.19,NA,NA,NA,1
"621",1995,NA,0.541610495,NA,NA,140,NA,670,8.17,NA,NA,NA,0.596589885
"622",1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"623",1999,NA,2,NA,NA,23,NA,240,8.27,NA,NA,NA,1
"624",2003,NA,1,NA,NA,130,NA,180,8.2,NA,NA,NA,1
"625",2009,NA,0.893978909,NA,NA,150,NA,850,7.54,NA,NA,NA,0.79621923
"626",2011,NA,0.84064262,NA,NA,140,NA,1400,7.85,NA,NA,NA,0.666721695
"627",2023,NA,1,NA,NA,260,NA,1600,7.63,NA,NA,NA,1
"628",2024,NA,1,NA,NA,240,NA,740,7.91,NA,NA,NA,1
"629",2027,NA,1,NA,NA,21,NA,140,8.39,NA,NA,NA,1
"630",2028,NA,2,NA,NA,60,NA,340,8.26,NA,NA,NA,0.912501755
"631",2029,NA,1.0746375345,NA,NA,245,NA,3150,6.905,NA,NA,NA,0.588960434
"632",2033,NA,0.08524055,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.480079533
"633",2063,590,NA,430,700,101,0,765,7.2,10.5,1500,13700,NA
"634",2064,NA,NA,NA,914,8.5,0,NA,NA,11,841,3180,NA
"635",2067,NA,29,1400,1000,27.5,0,80,7.6,10,300,4150,NA
"636",2070,NA,1.0176162625,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.169014634
"637",2080,NA,4.7,140,NA,43.2,NA,50,7.24,NA,NA,NA,11
"638",2082,984,NA,1600,1200,23,NA,380,7.5,12,230,3505,NA
"639",2083,NA,NA,NA,1300,89,0,NA,7.1,NA,948,NA,NA
"640",2084,NA,NA,690,547,6,58,30,8.8,NA,378,1830,NA
"641",2085,NA,NA,NA,190,64,0,NA,NA,17,186,721,NA
"642",2095,NA,NA,NA,426,33,0,NA,7.6,13,41,728,NA
"643",2096,NA,1.9214108065,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.616488574
"644",2099,1180,NA,5400,1290,142,0,3800,7.4,11,2660,14300,NA
"645",2100,204,NA,100,236,7.4,6,37,8.4,12,71,583.5,NA
"646",2101,NA,2.581926291,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.57318391
"647",2112,NA,NA,350,NA,4.3,NA,160,8.5,7.9,820,3235,NA
"648",2122,NA,1,140,NA,115.2,NA,160,7.73,NA,NA,NA,2.5
"649",2129,292,NA,410,356,58,0,620,7.8,10,750,3120,NA
"650",2130,766,NA,NA,886,29,24,10,8.55,9,1000,3730,NA
"651",2131,616,NA,520,752,6.3,NA,90,8.15,9.9,970,3365,NA
"652",2152,NA,NA,NA,380,27,0,NA,NA,13,1670,3930,NA
"653",2204,720,NA,230,879,98,NA,11000,7.3,10,1900,13900,NA
"654",2209,NA,NA,NA,822,25,0,NA,NA,15,673,2500,NA
"655",2210,NA,NA,NA,334,30,0,NA,7.5,13,48,616,NA
"656",2211,852,40,NA,1040,26,NA,NA,7.65,12,610,4580,NA
"657",2213,NA,NA,240,NA,40,NA,180,7.9,12,39,598,NA
"658",2263,NA,NA,NA,740,22.2,41,NA,NA,10,680,2650,NA
"659",2286,NA,NA,10,320,3,35,70,NA,NA,210,1105,NA
"660",2400,162,6,130,189,13,6,160,8.35,25,580,1685,0.01
"661",2476,NA,NA,NA,266,44,NA,10,NA,NA,NA,480,NA
"662",2509,NA,1,NA,263,146,NA,2020,NA,NA,NA,NA,350
"663",2554,NA,1,40,190,49.5,0,1300,7.8,15,81,459,0.035
"664",2560,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,1.2
"665",2561,NA,NA,310,358,32,0,10,7.4,13,110,1150,NA
"666",2562,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,13
"667",2563,NA,NA,130,166,31,0,20,7.7,26,11,280,NA
"668",2564,NA,NA,NA,167,NA,0,NA,NA,NA,NA,309,NA
"669",2565,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,0.72
"670",2566,NA,NA,20,123.5,34,0,50,7.3,26.5,8.15,280,NA
"671",2568,NA,48,1500,NA,41,NA,50,8.14,NA,642,NA,67
"672",2572,NA,8.3617022235,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5928327125
"673",2582,NA,NA,NA,140,46,0,NA,8,23,14,314,0.52
"674",2598,NA,NA,NA,147,580,0,NA,7,13,1890,2980,12
"675",2599,NA,NA,NA,300,88,0,NA,NA,20,21,588,NA
"676",2600,NA,NA,NA,278,NA,0,NA,NA,NA,NA,538,NA
"677",2601,NA,NA,NA,339,NA,0,NA,NA,20,44,NA,NA
"678",2602,NA,NA,NA,400,92,0,NA,NA,13,38,825,NA
"679",2603,NA,NA,NA,177,40,0,NA,NA,26,7.6,328,NA
"680",2609,NA,11.56925317,59,NA,26.4,NA,75,7.835,NA,14.2,NA,16.258152095
"681",2619,NA,1.3598406875,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.725483075
"682",2626,NA,0.9525302135,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.219934265
"683",2629,NA,NA,NA,195,60.5,0,70,8.7,17,27.5,461.5,1.2
"684",2645,NA,0.73,140,NA,530,NA,50,7.45,NA,2720,NA,19
"685",2661,NA,NA,NA,220,76,NA,40,NA,NA,110,720,NA
"686",2669,NA,42.438941125,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.63434092
"687",2674,NA,8.531306106,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.867722071
"688",2679,NA,0.132914345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"689",2681,NA,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.39053969
"690",2702,NA,NA,NA,NA,NA,NA,NA,7.25,NA,NA,NA,1.275
"691",2738,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,0.77
"692",2739,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,2
"693",2742,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,0.55
"694",2749,NA,1,NA,310,40,0,870,8.5,17,56,891,150.05
"695",2752,NA,NA,NA,160,2,0,NA,7,NA,12,384,18.85
"696",2753,NA,NA,NA,134.5,21.5,0,150,7.1,9.6,8.1,285,NA
"697",2756,NA,NA,NA,236,74,0,NA,NA,NA,62,516,NA
"698",2758,NA,NA,NA,231,28.5,12,5200,8.9,10,66.5,622.5,NA
"699",2763,NA,NA,NA,261,78,0,NA,NA,NA,28,569,NA
"700",2768,NA,19.5,120,NA,4.7,NA,8800,8.765,NA,61.4,NA,8.4
"701",2769,NA,NA,NA,494,86,0,NA,NA,NA,130,1320,NA
"702",2771,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,7
"703",2774,NA,NA,NA,272,91,0,NA,NA,23,128.5,739,4.3
"704",2779,NA,NA,NA,170,42,0,NA,NA,26,21,368,NA
"705",2780,NA,NA,NA,260,64,0,NA,NA,16,12,446,NA
"706",2781,NA,NA,NA,260,74,0,NA,NA,19,20,484,NA
"707",2782,NA,NA,NA,130,460,0,NA,7.4,15,1600,2470,NA
"708",2784,NA,NA,NA,280,NA,0,NA,8.2,NA,NA,869,NA
"709",2794,NA,NA,NA,388,8,9,NA,NA,11,93,1970,NA
"710",2798,NA,NA,NA,120,210,NA,20,7.9,NA,520,1120,NA
"711",2806,NA,1,380,NA,30,NA,1500,8.25,6.2,240,1435,NA
"712",2810,NA,NA,NA,253,73,0,NA,7.5,13,60,551,NA
"713",2816,NA,NA,NA,315,NA,10,NA,8.6,NA,NA,670,NA
"714",2839,NA,NA,NA,260,90.5,0,150,7,13,82,617.5,NA
"715",2840,NA,NA,NA,193.5,49.5,2,150,7.2,14,42,445.5,NA
"716",2868,NA,NA,NA,194,51,NA,40,7.3,NA,35,430,NA
"717",2877,NA,NA,600,259,90,NA,1405,7.9,NA,280,2470,NA
"718",2879,NA,NA,NA,226,9,150,230,9.8,NA,430,3150,NA
"719",2920,NA,NA,40,760,5,110,150,9,NA,NA,3560,NA
"720",2921,NA,NA,NA,180,1,71,230,9.8,NA,NA,1160,NA
"721",2937,NA,NA,NA,362,NA,0,NA,7.9,NA,NA,2060,NA
"722",2938,NA,NA,NA,370,NA,0,NA,7.1,NA,NA,3000,NA
"723",2941,NA,6.1,NA,NA,17.5,NA,246,7.23,NA,NA,NA,NA
"724",2956,NA,0.085240545,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.112416565
"725",2966,NA,NA,NA,360,52,0,NA,NA,14,83,741,8.7
"726",3105,NA,NA,NA,NA,99,NA,NA,NA,NA,NA,NA,NA
"727",3106,NA,NA,NA,330,NA,0,NA,NA,NA,NA,693,NA
"728",3108,NA,NA,NA,270,9,0,NA,8.3,NA,NA,597,NA
"729",3113,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,13
"730",3116,NA,NA,NA,380,91,0,NA,7.3,20,158,1090,2.4
"731",3126,NA,NA,NA,370,61,0,NA,7.2,13,140,941,NA
"732",3127,NA,NA,NA,540,NA,0,NA,7.3,NA,NA,3100,NA
"733",3143,NA,NA,NA,260,71,0,NA,7.1,11,44,576,NA
"734",3144,473,0.4,126,538.5,37.8,2.3,550,8.3,NA,NA,3070,NA
"735",3157,NA,NA,NA,440,69,0,NA,7.4,9.5,230,1170,NA
"736",3158,NA,NA,NA,NA,1.2,NA,NA,9.2,8.6,130,1205,NA
"737",3159,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,2.5
"738",3166,NA,0,NA,280,12,0,35,8.1,NA,NA,695.5,0.63
"739",3167,NA,1,NA,240,2.4,0,20,8.25,NA,NA,473.5,0.02
"740",3168,NA,1,NA,215,2.7,2,1010,8.5,NA,NA,521,0.01
"741",3170,NA,10.31218966,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.273640777
"742",3172,NA,NA,NA,440,48,0,NA,7.3,15,260,1430,NA
"743",3173,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,0.1
"744",3181,NA,4.48123147,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.100423937
"745",3190,NA,NA,NA,320,NA,0,NA,NA,NA,NA,641,NA
"746",3196,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,2.9
"747",3276,NA,NA,NA,328,80,10,NA,8.5,20,374,1260,NA
"748",3280,NA,NA,NA,259,177,0,NA,8.1,16,788,1720,NA
"749",3301,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,1.5
"750",3302,532,23,NA,600,3,24,130,8.65,9.3,145,1470,NA
"751",3316,NA,14,30,646,16.5,12,90,8,10.5,101,1390,NA
"752",3317,NA,10,290,432.5,15,0,50,7.95,9.5,55,785.5,NA
"753",3326,NA,NA,60,236.5,46,0,0,7.85,NA,33,480,NA
"754",3333,NA,NA,NA,327,70,0,NA,7.1,17,75,692,NA
"755",3345,NA,NA,NA,230,15,0,NA,8.2,NA,NA,858,NA
"756",3346,NA,2,1100,577,260,473,12000,6.7,NA,NA,2975,NA
"757",3360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.046829683
"758",3369,NA,NA,NA,360,110,0,NA,7,14,140,903,NA
"759",3377,NA,NA,NA,270,81,0,NA,7.1,16,23,630,NA
"760",3381,NA,NA,20,158,44,0,10,6.9,23,9.9,320,20
"761",3387,NA,NA,NA,690,NA,0,NA,7.8,NA,NA,6040,NA
"762",3416,478,NA,240,594,112,0,2600,7.65,9.1,1270,11650,NA
"763",3430,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,3.2
"764",3513,NA,NA,NA,330,NA,0,NA,7.6,NA,NA,1330,NA
"765",3514,NA,NA,NA,240,29,0,NA,NA,NA,NA,468,NA
"766",3517,NA,NA,NA,240,80,0,NA,NA,NA,59,513,NA
"767",3518,NA,NA,NA,250,48,0,NA,NA,11,41,487,NA
"768",3523,NA,NA,NA,688.5,45.5,NA,170,NA,NA,NA,3615,NA
"769",3545,NA,NA,NA,614,NA,0,NA,7.3,NA,NA,1970,NA
"770",3556,NA,NA,210,260,0.4,32,115,9.1,NA,NA,701,NA
"771",3565,NA,NA,NA,NA,15.9,NA,40,8.5,9,51.6,NA,NA
"772",3569,NA,10,850,NA,8.85,NA,40,8.2,8.15,64.5,1180,NA
"773",3570,NA,NA,NA,NA,4.9,NA,NA,8.25,8.9,44,774,NA
"774",3585,NA,NA,NA,252,85,0,NA,6.9,17,150,NA,NA
"775",3586,NA,NA,NA,550,NA,0,NA,7.2,NA,NA,2160,4.5
"776",3603,NA,NA,260,NA,8.4,NA,10,8.15,7.2,1500,4565,NA
"777",3604,NA,11,430,NA,94,NA,NA,7.5,10.5,1400,13600,13
"778",3606,NA,NA,70,NA,80,NA,44,7.75,9,230,797.5,NA
"779",3607,468,NA,215,558.5,85,0,1015,7.9,9.6,1200,11200,NA
"780",3618,NA,NA,NA,300,210,0,NA,7.4,NA,NA,2870,NA
"781",3625,NA,1.34,2050,NA,12.5,NA,155,8.74,NA,171.5,NA,1.5
"782",3667,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,2.15
"783",3673,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,49
"784",3674,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,35
"785",3722,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,6.1
"786",3772,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,0.8
"787",3773,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,1.2
"788",3774,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,0.33
"789",3775,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,1.1
"790",3875,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,0.64
"791",3889,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,1.8
"792",3890,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,0.14
"793",3892,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,1
"794",3904,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,1.8
"795",4011,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,12
"796",4012,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,2.05
"797",4017,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,3.1
"798",4019,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,2.6
"799",4020,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,2.1
"800",4030,NA,6.6387727165,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.76
"801",4044,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,7
"802",4047,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,8
"803",4877,NA,0.3806716255,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.196367153
"804",4878,NA,6.7099486895,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.192030275
"805",4879,NA,2.46255525,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.073527458
"806",4880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84
"807",4881,NA,23.57196893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"808",6157,NA,NA,NA,NA,NA,NA,NA,9.44,NA,NA,NA,NA
"809",6165,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,4.2
"810",6862,NA,5,NA,NA,10.4,NA,2060,7.4,NA,NA,NA,NA
"811",6864,NA,5,NA,NA,2.42,NA,9870,7.4,NA,1460,NA,NA
"812",6865,NA,20,1300,NA,15,NA,50,8.465,NA,175,NA,31
"813",6866,NA,9.6,500,NA,19.2,NA,62,8.3,NA,25.8,NA,2
"814",6867,NA,5.7,66,NA,79,NA,50,8.06,NA,35.9,NA,1.2
"815",6868,NA,4.7,50,NA,36.8,NA,120,7.395,NA,16.7,NA,1.1
"816",6869,NA,2,NA,NA,160,NA,195,7.625,NA,NA,NA,1
"817",6870,NA,1,NA,NA,550,NA,440,7.44,NA,NA,NA,3
"818",6871,NA,3.609403169,NA,NA,150,NA,10,6.99,NA,NA,NA,2.43628106
"819",6872,NA,2,NA,NA,160,NA,400,8.02,NA,NA,NA,3
"820",6875,NA,1,NA,NA,280,NA,35,7.36,NA,NA,NA,6
"821",6877,NA,7,NA,NA,3.3,NA,20,9.27,NA,NA,NA,4
"822",6878,NA,1,NA,NA,97,NA,10,7.51,NA,NA,NA,5
"823",6880,NA,4,NA,NA,160,NA,180,7.93,NA,NA,NA,1
"824",6881,NA,0.581462701,NA,NA,140,NA,1000,7.81,NA,NA,NA,0.558105731
"825",6882,NA,1,NA,NA,120,NA,10,7.21,NA,NA,NA,1.3151678745
"826",6883,NA,1,NA,NA,310,NA,1200,7.1,NA,NA,NA,1
"827",6885,NA,1,NA,NA,460,NA,650,7.46,NA,NA,NA,1
"828",6886,NA,19,NA,NA,13,NA,200,NA,NA,NA,NA,1
"829",6887,NA,2,NA,NA,77,NA,66,7.84,NA,NA,NA,6
"830",6888,NA,1,NA,NA,140,NA,440,8.13,NA,NA,NA,5
"831",6889,NA,1,NA,NA,55,NA,40,8.35,NA,NA,NA,1
"832",6891,NA,0.351187046,NA,NA,170,NA,70,8.06,NA,NA,NA,0.406915124
"833",6892,NA,1,NA,NA,640,NA,2400,7.44,NA,NA,NA,1
"834",6893,NA,1,NA,NA,220,NA,570,7.7,NA,NA,NA,1
"835",6896,NA,4,NA,NA,110,NA,10,5.71,NA,NA,NA,1
"836",6897,NA,15,NA,NA,52,NA,20,6.9,NA,NA,NA,12
"837",6899,NA,4,NA,NA,79,NA,10,NA,NA,NA,NA,6
"838",6900,NA,6.3,130,NA,70,NA,460,NA,NA,NA,NA,24
"839",7000,NA,1.1345409625,NA,NA,32.76948048,NA,NA,NA,NA,NA,NA,1.3625895005
"840",7001,NA,0.085240545,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.809447283
"841",7002,NA,1.423978137,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883890337
"842",7003,NA,0.5484088,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.154597902
"843",7004,NA,0.743818106,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8260422605
"844",7005,NA,0.346150709,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.781322579
"845",7006,NA,1.7273280195,NA,NA,7.147804785,NA,NA,NA,NA,NA,NA,0.6059300705
"846",7007,NA,0.32176063,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.637270647
"847",7008,NA,1.552249259,NA,NA,40.803842885,NA,NA,NA,NA,NA,NA,0.6863178425
"848",7009,NA,0.360281461,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.411907593
"849",7010,NA,0.1759906,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3636655475
"850",7011,NA,0.273248856,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45
"851",7012,NA,11.979386875,NA,NA,48.522189475,NA,NA,NA,NA,NA,NA,9.416195864
"852",7013,NA,4.157773998,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.500573593
"853",7014,NA,2.2327909,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.820426689
"854",7015,NA,0.085240545,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.206470065
"855",7016,NA,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.197664076
"856",7017,NA,13.20389975,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3387688765
"857",7018,NA,17.85046835,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.71040441
"858",7019,NA,0.2828846565,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.562451007
"859",7020,NA,24.72845759,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.13204377
"860",7021,NA,35.92227721,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.00375253
"861",7022,NA,0.68597579,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.753395095
"862",7023,NA,0.8035412435,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.001440757
"863",7024,NA,1.1496038545,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.001227286
"864",7025,NA,0.411458508,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.186800838
"865",7026,NA,0.4873381725,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22970081
"866",7027,NA,1.470930923,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.090060305
"867",7028,NA,4.706492627,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4840222845
"868",7029,NA,1.826135398,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.046829683
"869",7030,NA,1.120918961,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.413210154
"870",7032,NA,0.808838993,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.408785005
"871",7033,NA,7.648569086,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.762289814
"872",7034,NA,8.475561517,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.0743819
"873",7035,NA,0.5975132,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.378776607
"874",7036,NA,15.76492326,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.538645985
"875",7037,NA,0.399954591,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.9857863
"876",7039,NA,20.70151271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
