"","well_id","Alkalinity","As","B","Bicarbonate","Ca","Carbonate","Fe","pH","Si","SO4-","SpecificConductance","U"
"306",592,NA,1.442595379,NA,NA,100,NA,10,7,NA,NA,NA,3.523848735
"307",593,NA,1,NA,NA,290,NA,80,8.29,NA,NA,NA,12
"308",594,NA,1,NA,NA,190,NA,150,8.47,NA,NA,NA,1
"309",595,NA,1,NA,NA,59,NA,50,9.43,NA,NA,NA,1
"310",596,NA,4,NA,NA,130,NA,10,8.24,NA,NA,NA,1
"311",597,NA,1,NA,NA,400,NA,670,7.8,NA,NA,NA,1
"312",598,NA,1,NA,NA,49,NA,10,7.09,NA,NA,NA,3
"313",599,NA,1,NA,NA,15,NA,30,8.09,NA,NA,NA,4
"314",600,NA,1,NA,NA,26,NA,180,8.1,NA,NA,NA,1
"315",601,NA,1,NA,NA,55,NA,30,8.15,NA,NA,NA,1
"316",603,NA,8.5,240,NA,170,NA,30,5.89,NA,22.7,NA,1
"317",604,NA,1,NA,NA,190,NA,100,5.99,NA,NA,NA,1
"318",605,NA,31.36140316,NA,NA,25,NA,90,7.41,NA,NA,NA,8.291153369
"319",606,NA,0.774502137,NA,NA,710,NA,570,6.72,NA,NA,NA,25.48344446
"320",607,NA,NA,NA,NA,NA,NA,NA,8.12,NA,NA,NA,NA
"321",608,NA,1,NA,NA,66,NA,60,7.92,NA,NA,NA,5
"322",609,NA,1,NA,NA,110,NA,10,7.94,NA,NA,NA,1
"323",610,NA,1,NA,NA,61,NA,160,8.14,NA,NA,NA,2
"324",611,NA,2,NA,NA,63,NA,100,8.05,NA,NA,NA,1
"325",612,NA,1,NA,NA,100,NA,50,8.24,NA,NA,NA,1
"326",613,NA,1,NA,NA,150,NA,200,8.26,NA,NA,NA,1
"327",614,NA,1,NA,NA,150,NA,130,8.08,NA,NA,NA,1
"328",615,NA,1,NA,NA,370,NA,8000,5.64,NA,NA,NA,1
"329",616,NA,1,NA,NA,150,NA,150,7.99,NA,NA,NA,1
"330",617,NA,1,NA,NA,180,NA,10,7.8,NA,NA,NA,15
"331",619,NA,1,NA,NA,100,NA,30,8.04,NA,NA,NA,2
"332",621,NA,1,NA,NA,75,NA,50,7.32,NA,NA,NA,1
"333",623,NA,1,NA,NA,160,NA,140,8.13,NA,NA,NA,2
"334",624,NA,16,NA,NA,14,NA,40,8.63,NA,NA,NA,1
"335",625,NA,14.548062705,NA,NA,34,NA,140,8.99,NA,NA,NA,0.715510463
"336",628,NA,1,NA,NA,160,NA,10,7.9,NA,NA,NA,2
"337",629,NA,3,NA,NA,230,NA,10,7.41,NA,NA,NA,2
"338",630,NA,1.763537581,NA,NA,160,NA,80,9.75,NA,NA,NA,2.071004032
"339",633,NA,35.70856804,NA,NA,4,NA,450,9.36,NA,NA,NA,1.98
"340",634,NA,2,NA,NA,60,NA,430,8.47,NA,NA,NA,6
"341",635,NA,17.03879363,NA,NA,11,NA,160,8.93,NA,NA,NA,10.15286526
"342",637,NA,1,NA,NA,120,NA,80,8.3,NA,NA,NA,6
"343",638,NA,2,NA,NA,83,NA,90,8.56,NA,NA,NA,4
"344",639,NA,0.4118595825,NA,NA,230,NA,50,8.35,NA,NA,NA,0.595895792
"345",640,NA,2,NA,NA,360,NA,2000,8.19,NA,NA,NA,1
"346",641,NA,3,NA,NA,180,NA,10,7.57,NA,NA,NA,7
"347",642,NA,17,NA,NA,54,NA,450,6.73,NA,NA,NA,22
"348",643,NA,1.094024141,50,NA,37.6,NA,340,7.48,NA,13.6,NA,4.207221614
"349",644,NA,10,NA,NA,27.15,NA,100,8.96,NA,NA,NA,2
"350",645,NA,6,NA,NA,18,NA,350,8.38,NA,NA,NA,1
"351",646,NA,21,NA,NA,6.8,NA,650,8.66,NA,NA,NA,1
"352",647,NA,55,NA,NA,5,NA,70,9.14,NA,NA,NA,15
"353",648,108,3,50,151,9.35,10,145,8.7,19,12,246,9
"354",649,NA,1,NA,NA,60,NA,430,8.12,NA,NA,NA,1
"355",650,NA,14.299710735,NA,NA,5.5,NA,90,9.1,NA,NA,NA,10.652323425
"356",651,NA,3.95,92,NA,3.75,NA,500,8.92,NA,85,NA,690
"357",652,NA,1,NA,NA,58,NA,10,7.99,NA,NA,NA,1
"358",653,NA,1,NA,NA,35,NA,60,8.26,NA,NA,NA,6
"359",654,NA,21,NA,NA,2.8,NA,120,9.33,NA,NA,NA,51
"360",655,NA,1,NA,NA,52,NA,130,8.15,NA,NA,NA,26
"361",656,NA,1,NA,NA,58,NA,300,8.32,NA,NA,NA,27
"362",657,NA,1,NA,NA,60,NA,30,8.93,NA,NA,NA,1
"363",658,NA,1.4556676575,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7962226755
"364",659,NA,1.05,NA,NA,15,NA,460,8.82,NA,NA,NA,13.99375333
"365",660,NA,2,NA,NA,120,NA,40,7.37,NA,NA,NA,14
"366",661,NA,1,NA,NA,120,NA,140,8.03,NA,NA,NA,28
"367",662,NA,1,NA,NA,57,NA,530,7.83,NA,NA,NA,1
"368",663,NA,1,NA,NA,73,NA,80,8.05,NA,NA,NA,1
"369",664,NA,1,NA,NA,59,NA,750,8.13,NA,NA,NA,1
"370",665,NA,1,NA,NA,71,NA,40,8.04,NA,NA,NA,1
"371",668,NA,1,NA,NA,56,NA,30,8.28,NA,NA,NA,1
"372",670,NA,3,NA,NA,96,NA,10,7.85,NA,NA,NA,3
"373",671,NA,1,NA,NA,65,NA,100,8.1,NA,NA,NA,1
"374",672,NA,1,NA,NA,63,NA,100,8.5,NA,NA,NA,1
"375",673,NA,1.697838823,NA,NA,69,NA,60,8.86,NA,NA,NA,1.0714313535
"376",674,NA,3.324752242,NA,NA,49,NA,90,9.28,NA,NA,NA,1.1495917345
"377",675,NA,1,NA,NA,74,NA,450,8.42,NA,NA,NA,1
"378",676,NA,2.5,NA,NA,135.5,NA,100,7.94,NA,NA,NA,2
"379",678,NA,2,NA,NA,56,NA,50,8.35,NA,NA,NA,1
"380",679,NA,2,NA,NA,110,NA,60,7.84,NA,NA,NA,16
"381",680,NA,4,NA,NA,2.5,NA,380,9.42,NA,NA,NA,7
"382",681,NA,3,NA,NA,5,NA,680,9.49,NA,NA,NA,4
"383",682,NA,5.5,NA,NA,3.05,NA,820,9.355,NA,NA,NA,2
"384",683,NA,1,NA,NA,20,NA,700,8.665,NA,NA,NA,1
"385",684,NA,8,NA,NA,4.2,NA,430,9.62,NA,NA,NA,3
"386",685,NA,5,NA,NA,1.95,NA,255,9.515,NA,NA,NA,1.5
"387",687,NA,2,NA,NA,38,NA,100,9.03,NA,NA,NA,15
"388",688,NA,2,NA,NA,82,NA,70,8.42,NA,NA,NA,46
"389",692,NA,NA,NA,177,2,29,NA,NA,14,50,565,NA
"390",857,NA,NA,90,180,16,0,140,7.6,19,18,460,NA
"391",858,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,2.1
"392",860,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,3.1
"393",861,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,2.6
"394",862,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,1.7
"395",864,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,2.4
"396",865,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,1.9
"397",867,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,0.9
"398",868,NA,NA,1200,580,22,NA,10,NA,23,230,1750,NA
