#
#
# US Geological Survey
# retrieved: 2025-10-17 19:18:14 EDT
# URL: https://nwis.waterdata.usgs.gov/nwis/inventory
#
# The Site File stores location and general information about groundwater,
# surface water, and meteorological sites
# for sites in USA.
#
# The following selected fields are included in this output:
#
#  agency_cd       -- Agency
#  site_no         -- Site identification number
#  station_nm      -- Site name
#
#
# query started 2025-10-17 19:18:14 EDT
#
# there are 8 sites matching the search criteria.
#
#
agency_cd	site_no	station_nm
5s	15s	50s
USGS	351407109165601	A-21-29 08ADA1
USGS	351407109165602	A-21-29 08ADA2
USGS	352354108133201	14N.13W.33.314
USGS	352610108081801	14N.12W.20.111
USGS	352613108080801	14N.12W.20.121
USGS	353016108310501	15N.16W.27.2312
USGS	355955109031901	18 089-03.10X00.10
USGS	365853112380901	B-41-03 05     UNSURV
