"","i","Train_Error","Train_SD","Test_Error","Test_SD"
"1",1,0.916237113402062,0.00157827947344276,0.757957957957958,0.00416649757522872
"2",2,0.914175257731959,0.00210765814868506,0.761561561561562,0.00358478570159561
"3",3,0.916237113402062,0.00269542534321544,0.757957957957958,0.00575684369750174
"4",4,0.916752577319588,0.00313676841356655,0.759159159159159,0.00747741717596923
"5",5,0.916752577319588,0.00160436850489545,0.757957957957958,0.00442879315428009
"6",6,0.91520618556701,0.00239357933260395,0.757057057057057,0.00388654027193535
"7",7,0.917654639175258,0.00178794290277211,0.758558558558559,0.00358478570159561
"8",8,0.915335051546392,0.00201707162918795,0.76006006006006,0.00268596754054033
"9",9,0.917396907216495,0.00178794290277211,0.757357357357357,0.00481886082158598
"10",10,0.914819587628866,0.00123939330294274,0.758558558558559,0.00342395022552295
"11",11,0.91520618556701,0.00247878660588547,0.757057057057057,0.009400886391891
"12",12,0.916881443298969,0.00208786749304376,0.755555555555556,0.0022270866327614
"13",13,0.916494845360825,0.00320873700979094,0.76006006006006,0.00246721872750078
"14",14,0.914561855670103,0.00168020680546459,0.75945945945946,0.00325517768598782
"15",15,0.915335051546392,0.000864459269651978,0.758558558558559,0.00575684369750175
"16",16,0.916881443298969,0.00241086171828221,0.756156156156156,0.00684790045104586
"17",17,0.916494845360825,0.00243655546407074,0.759159159159159,0.00376873885826162
"18",18,0.91610824742268,0.00166780658576607,0.756156156156156,0.00361609446810573
"19",19,0.915463917525773,0.00259337780895593,0.758558558558559,0.00388654027193537
"20",20,0.916365979381443,0.00229620227850585,0.756156156156156,0.00405683365949139
"21",21,0.91610824742268,0.00105874205703318,0.761261261261261,0.0035213331530206
"22",22,0.91701030927835,0.00220394734233084,0.755855855855856,0.00577639161011154
"23",23,0.916623711340206,0.00185629642923813,0.754354354354354,0.00606205082227817
"24",24,0.91610824742268,0.00267222182388247,0.759159159159159,0.00515782703823351
"25",25,0.916494845360825,0.00267997865245945,0.755255255255255,0.00318516568102043
"26",26,0.918298969072165,0.00200675405958733,0.76006006006006,0.00246721872750078
"27",27,0.91610824742268,0.00306987867256999,0.758558558558559,0.00691343209202484
"28",28,0.914175257731959,0.001538316544628,0.756756756756757,0.00382809272792251
