"SampleID","OrganizationIdentifier","ActivityIdentifier","ActivityTypeCode","ActivityMediaName","ActivityMediaSubdivisionName","ActivityStartDate","ProjectIdentifier","ActivityConductingOrganizationText","MonitoringLocationIdentifier","ActivityCommentText","HydrologicCondition","HydrologicEvent","SampleCollectionMethodMethodIdentifier","SampleCollectionMethodIdentifierContext","SampleCollectionMethodName","SampleCollectionEquipmentName","ResultDetectionConditionText","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","ResultMeasureMeasureUnitCode","ProviderName","SiteID","OrganizationIdentifier.2","OrganizationFormalName","MonitoringLocationIdentifier.2","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","LatitudeMeasure","LongitudeMeasure","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","Elevation","ElevationUnitCode","ElevationCollectionMethodName","CountryCode","StateCode","CountyCode","Built","WellDepthMeasureValue","WellDepthMeasureUnitCode","WellHoleDepthMeasureValue","WellHoleDepthMeasureUnitCode","ProviderName.2"
3605568,"BPMWQX","BPMWQX-516353","Sample-Routine","Water","Groundwater","2021-10-02 00:00:00","2901","NULL","BPMWQX-5508-EK-MW10","Scribe Sample No: EK-MW10-GW-N-100221","NULL","NULL","NULL","NULL","NULL","Miscellaneous (Other)","NULL","As","Dissolved",4.5,"µg/L","STORET",251908,"BPMWQX","Bonita Peak Mining","BPMWQX-5508-EK-MW10","EK-MW10","CERCLA Superfund Site","NULL",37.87476,-107.56582,"Unknown","WGS84","NULL","NULL","NULL","US",8,111,"NULL","NULL","NULL","NULL","NULL","STORET"
3605582,"BPMWQX","BPMWQX-510890","Sample-Routine","Water","Groundwater","2021-09-15 00:00:00","2901","NULL","BPMWQX-5412-EK-TP12","Scribe Sample No: EK-TP12-GW-D-091521","NULL","NULL","NULL","NULL","NULL","Miscellaneous (Other)","NULL","As","Dissolved",0.12,"µg/L","STORET",251874,"BPMWQX","Bonita Peak Mining","BPMWQX-5412-EK-TP12","EK-TP12","CERCLA Superfund Site","NULL",37.86604826,-107.56888984,"Unknown","WGS84","NULL","NULL","NULL","US",8,111,"NULL","NULL","NULL","NULL","NULL","STORET"
3605588,"BPMWQX","BPMWQX-507979","Sample-Routine","Water","Groundwater","2021-03-25 00:00:00","2901","NULL","BPMWQX-3307-MTMW-1","Scribe Sample No: 20210325_09:10_MTMW_01_GW","NULL","NULL","NULL","NULL","NULL","Miscellaneous (Other)","NULL","As","Dissolved",1.14,"µg/L","STORET",251102,"BPMWQX","Bonita Peak Mining","BPMWQX-3307-MTMW-1","MTMW-1","CERCLA Superfund Site","NULL",37.820477,-107.646953,"Unknown","WGS84","NULL","NULL","NULL","US",8,111,"NULL","NULL","NULL","NULL","NULL","STORET"
3605592,"BPMWQX","BPMWQX-516230","Sample-Routine","Water","Groundwater","2021-09-30 00:00:00","2901","NULL","BPMWQX-5417-HW-MW09","Scribe Sample No: HW-MW09-GW-N-093021","NULL","NULL","NULL","NULL","NULL","Miscellaneous (Other)","NULL","As","Dissolved",0.11,"µg/L","STORET",251878,"BPMWQX","Bonita Peak Mining","BPMWQX-5417-HW-MW09","HW-MW09","CERCLA Superfund Site","NULL",37.8375,-107.59411,"Unknown","WGS84","NULL","NULL","NULL","US",8,111,"NULL","NULL","NULL","NULL","NULL","STORET"
3605593,"BPMWQX","BPMWQX-520886","Sample-Routine","Water","Groundwater","2021-09-27 00:00:00","2901","NULL","BPMWQX-1376-KMMW3","Scribe Sample No: KM-MW03-GW-N-092721","NULL","NULL","NULL","NULL","NULL","Miscellaneous (Other)","Not Detected","As","Dissolved",0,"µg/L","STORET",250271,"BPMWQX","Bonita Peak Mining","BPMWQX-1376-KMMW3","KMMW3","CERCLA Superfund Site","NULL",37.858742371,-107.572868394,"Unknown","WGS84","NULL","NULL","NULL","US",8,111,"NULL","NULL","NULL","NULL","NULL","STORET"
3605638,"BPMWQX","BPMWQX-520728","Sample-Routine","Water","Groundwater","2021-09-27 00:00:00","2901","NULL","BPMWQX-1375-KMMW2","Scribe Sample No: KM-MW02-GW-N-092721","NULL","NULL","NULL","NULL","NULL","Miscellaneous (Other)","Not Detected","As","Dissolved",0,"µg/L","STORET",250270,"BPMWQX","Bonita Peak Mining","BPMWQX-1375-KMMW2","KMMW2","CERCLA Superfund Site","NULL",37.858190638,-107.573265157,"Unknown","WGS84","NULL","NULL","NULL","US",8,111,"NULL","NULL","NULL","NULL","NULL","STORET"
3605661,"BPMWQX","BPMWQX-510633","Sample-Routine","Water","Groundwater","2021-09-10 00:00:00","2901","NULL","BPMWQX-5424-HW-TP01","Scribe Sample No: HW-TP01-GW-N-091021","NULL","NULL","NULL","NULL","NULL","Miscellaneous (Other)","NULL","As","Dissolved",0.08,"µg/L","STORET",251885,"BPMWQX","Bonita Peak Mining","BPMWQX-5424-HW-TP01","HW-TP01","CERCLA Superfund Site","NULL",37.84163481,-107.59200272,"Unknown","WGS84","NULL","NULL","NULL","US",8,111,"NULL","NULL","NULL","NULL","NULL","STORET"
3605689,"BPMWQX","BPMWQX-520719","Sample-Routine","Water","Groundwater","2021-09-28 00:00:00","2901","NULL","BPMWQX-5395-EK-MW04","Scribe Sample No: EK-MW04-GW-N-092821","NULL","NULL","NULL","NULL","NULL","Miscellaneous (Other)","Not Detected","As","Dissolved",0,"µg/L","STORET",251856,"BPMWQX","Bonita Peak Mining","BPMWQX-5395-EK-MW04","EK-MW04","CERCLA Superfund Site","NULL",37.86641,-107.56844,"Unknown","WGS84","NULL","NULL","NULL","US",8,111,"NULL","NULL","NULL","NULL","NULL","STORET"
3605741,"BPMWQX","BPMWQX-516309","Sample-Routine","Water","Groundwater","2021-09-29 00:00:00","2901","NULL","BPMWQX-5515-HW-MW15A","Scribe Sample No: HW-MW15A-GW-D-092921","NULL","NULL","NULL","NULL","NULL","Miscellaneous (Other)","NULL","As","Dissolved",11,"µg/L","STORET",251915,"BPMWQX","Bonita Peak Mining","BPMWQX-5515-HW-MW15A","HW-MW15A","CERCLA Superfund Site","NULL",37.83843,-107.5925,"Unknown","WGS84","NULL","NULL","NULL","US",8,111,"NULL","NULL","NULL","NULL","NULL","STORET"
3605748,"BPMWQX","BPMWQX-515987","Sample-Routine","Water","Groundwater","2021-09-29 00:00:00","2901","NULL","BPMWQX-5423-HW-MW16","Scribe Sample No: HW-MW16-GW-N-092921","NULL","NULL","NULL","NULL","NULL","Miscellaneous (Other)","NULL","As","Dissolved",130,"µg/L","STORET",251884,"BPMWQX","Bonita Peak Mining","BPMWQX-5423-HW-MW16","HW-MW16","CERCLA Superfund Site","NULL",37.8385,-107.59191,"Unknown","WGS84","NULL","NULL","NULL","US",8,111,"NULL","NULL","NULL","NULL","NULL","STORET"
