+ Fold01: shrinkage=0.004, interaction.depth= 2, n.minobsinnode=8, n.trees=500 
Iter   TrainDeviance   ValidDeviance   StepSize   Improve
   200        0.5382            -nan     0.0040    0.0006
   220        0.5157            -nan     0.0040    0.0004
   240        0.4953            -nan     0.0040    0.0003
   260        0.4770            -nan     0.0040    0.0005
   280        0.4606            -nan     0.0040    0.0003
   300        0.4452            -nan     0.0040   -0.0002
   320        0.4315            -nan     0.0040   -0.0001
   340        0.4186            -nan     0.0040   -0.0001
   360        0.4064            -nan     0.0040   -0.0000
   380        0.3946            -nan     0.0040   -0.0004
   400        0.3837            -nan     0.0040   -0.0002
   420        0.3737            -nan     0.0040   -0.0004
   440        0.3642            -nan     0.0040   -0.0005
   460        0.3553            -nan     0.0040   -0.0004
   480        0.3465            -nan     0.0040   -0.0006
   500        0.3384            -nan     0.0040   -0.0003

- Fold01: shrinkage=0.004, interaction.depth= 8, n.minobsinnode=8, n.trees=500 
+ Fold01: shrinkage=0.004, interaction.depth=10, n.minobsinnode=8, n.trees=500 
Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.0986            -nan     0.0040    0.0096
     2        1.0921            -nan     0.0040    0.0091
     3        1.0858            -nan     0.0040    0.0104
     4        1.0793            -nan     0.0040    0.0097
     5        1.0730            -nan     0.0040    0.0096
     6        1.0664            -nan     0.0040    0.0093
     7        1.0602            -nan     0.0040    0.0090
     8        1.0541            -nan     0.0040    0.0090
     9        1.0481            -nan     0.0040    0.0089
    10        1.0421            -nan     0.0040    0.0085
    20        0.9868            -nan     0.0040    0.0081
    40        0.8917            -nan     0.0040    0.0055
    60        0.8131            -nan     0.0040    0.0046
    80        0.7484            -nan     0.0040    0.0035
   100        0.6938            -nan     0.0040    0.0029
   120        0.6463            -nan     0.0040    0.0021
   140        0.6059            -nan     0.0040    0.0009
   160        0.5705            -nan     0.0040    0.0013
   180        0.5396            -nan     0.0040    0.0009
   200        0.5135            -nan     0.0040    0.0009
   220        0.4890            -nan     0.0040    0.0004
   240        0.4677            -nan     0.0040    0.0005
   260        0.4481            -nan     0.0040    0.0002
   280        0.4303            -nan     0.0040    0.0002
   300        0.4140            -nan     0.0040    0.0001
   320        0.3989            -nan     0.0040   -0.0000
   340        0.3848            -nan     0.0040    0.0001
   360        0.3721            -nan     0.0040   -0.0004
   380        0.3601            -nan     0.0040   -0.0002
   400        0.3485            -nan     0.0040   -0.0005
   420        0.3381            -nan     0.0040   -0.0005
   440        0.3280            -nan     0.0040   -0.0003
   460        0.3181            -nan     0.0040   -0.0005
   480        0.3092            -nan     0.0040   -0.0003
   500        0.3010            -nan     0.0040   -0.0003

- Fold01: shrinkage=0.004, interaction.depth=10, n.minobsinnode=8, n.trees=500 
+ Fold01: shrinkage=0.004, interaction.depth=12, n.minobsinnode=8, n.trees=500 
Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.0986            -nan     0.0040    0.0105
     2        1.0918            -nan     0.0040    0.0093
     3        1.0851            -nan     0.0040    0.0096
     4        1.0786            -nan     0.0040    0.0083
     5        1.0723            -nan     0.0040    0.0097
     6        1.0658            -nan     0.0040    0.0091
     7        1.0596            -nan     0.0040    0.0093
     8        1.0533            -nan     0.0040    0.0098
     9        1.0470            -nan     0.0040    0.0079
    10        1.0412            -nan     0.0040    0.0089
    20        0.9835            -nan     0.0040    0.0079
    40        0.8858            -nan     0.0040    0.0056
    60        0.8049            -nan     0.0040    0.0044
    80        0.7384            -nan     0.0040    0.0034
   100        0.6813            -nan     0.0040    0.0031
   120        0.6316            -nan     0.0040    0.0023
   140        0.5900            -nan     0.0040    0.0017
   160        0.5543            -nan     0.0040    0.0011
   180        0.5225            -nan     0.0040    0.0011
   200        0.4943            -nan     0.0040    0.0010
   220        0.4691            -nan     0.0040    0.0005
   240        0.4461            -nan     0.0040    0.0005
   260        0.4259            -nan     0.0040    0.0001
   280        0.4075            -nan     0.0040   -0.0001
   300        0.3910            -nan     0.0040   -0.0002
   320        0.3755            -nan     0.0040   -0.0001
   340        0.3613            -nan     0.0040   -0.0003
   360        0.3480            -nan     0.0040   -0.0002
   380        0.3358            -nan     0.0040   -0.0001
   400        0.3242            -nan     0.0040   -0.0002
   420        0.3129            -nan     0.0040   -0.0003
   440        0.3024            -nan     0.0040   -0.0002
   460        0.2929            -nan     0.0040   -0.0005
   480        0.2836            -nan     0.0040   -0.0003
   500        0.2746            -nan     0.0040   -0.0004

- Fold01: shrinkage=0.004, interaction.depth=12, n.minobsinnode=8, n.trees=500 
+ Fold01: shrinkage=0.004, interaction.depth=14, n.minobsinnode=8, n.trees=500 
Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.0986            -nan     0.0040    0.0099
     2        1.0918            -nan     0.0040    0.0087
     3        1.0853            -nan     0.0040    0.0103
     4        1.0784            -nan     0.0040    0.0101
     5        1.0717            -nan     0.0040    0.0104
     6        1.0651            -nan     0.0040    0.0094
     7        1.0586            -nan     0.0040    0.0101
     8        1.0520            -nan     0.0040    0.0088
     9        1.0458            -nan     0.0040    0.0085
    10        1.0400            -nan     0.0040    0.0089
    20        0.9823            -nan     0.0040    0.0073
    40        0.8829            -nan     0.0040    0.0056
    60        0.8006            -nan     0.0040    0.0044
    80        0.7313            -nan     0.0040    0.0031
   100        0.6731            -nan     0.0040    0.0029
   120        0.6240            -nan     0.0040    0.0022
   140        0.5816            -nan     0.0040    0.0018
   160        0.5438            -nan     0.0040    0.0013
   180        0.5112            -nan     0.0040    0.0009
   200        0.4831            -nan     0.0040    0.0008
   220        0.4572            -nan     0.0040    0.0005
   240        0.4342            -nan     0.0040    0.0003
   260        0.4133            -nan     0.0040    0.0001
   280        0.3941            -nan     0.0040   -0.0000
   300        0.3764            -nan     0.0040    0.0001
   320        0.3600            -nan     0.0040   -0.0004
   340        0.3455            -nan     0.0040    0.0000
   360        0.3316            -nan     0.0040   -0.0000
   380        0.3186            -nan     0.0040   -0.0004
   400        0.3066            -nan     0.0040   -0.0003
   420        0.2954            -nan     0.0040   -0.0001
   440        0.2844            -nan     0.0040   -0.0003
   460        0.2740            -nan     0.0040   -0.0003
   480        0.2646            -nan     0.0040   -0.0004
   500        0.2551            -nan     0.0040   -0.0003

- Fold01: shrinkage=0.004, interaction.depth=14, n.minobsinnode=8, n.trees=500 
+ Fold01: shrinkage=0.004, interaction.depth=16, n.minobsinnode=8, n.trees=500 
Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.0986            -nan     0.0040    0.0111
     2        1.0914            -nan     0.0040    0.0091
     3        1.0847            -nan     0.0040    0.0096
     4        1.0780            -nan     0.0040    0.0101
     5        1.0711            -nan     0.0040    0.0100
     6        1.0644            -nan     0.0040    0.0086
     7        1.0582            -nan     0.0040    0.0094
     8        1.0517            -nan     0.0040    0.0091
     9        1.0456            -nan     0.0040    0.0095
    10        1.0392            -nan     0.0040    0.0087
    20        0.9806            -nan     0.0040    0.0077
    40        0.8809            -nan     0.0040    0.0056
    60        0.7991            -nan     0.0040    0.0046
    80        0.7307            -nan     0.0040    0.0036
   100        0.6728            -nan     0.0040    0.0033
   120        0.6226            -nan     0.0040    0.0021
   140        0.5796            -nan     0.0040    0.0018
   160        0.5419            -nan     0.0040    0.0015
   180        0.5088            -nan     0.0040    0.0008
   200        0.4788            -nan     0.0040    0.0009
   220        0.4519            -nan     0.0040    0.0005
   240        0.4276            -nan     0.0040    0.0004
   260        0.4056            -nan     0.0040    0.0000
   280        0.3857            -nan     0.0040   -0.0002
   300        0.3673            -nan     0.0040    0.0001
   320        0.3507            -nan     0.0040   -0.0001
   340        0.3352            -nan     0.0040   -0.0004
   360        0.3209            -nan     0.0040   -0.0001
   380        0.3077            -nan     0.0040   -0.0003
   400        0.2952            -nan     0.0040   -0.0005
   420        0.2836            -nan     0.0040   -0.0001
   440        0.2724            -nan     0.0040   -0.0003
   460        0.2616            -nan     0.0040   -0.0005
   480        0.2519            -nan     0.0040   -0.0003
   500        0.2425            -nan     0.0040   -0.0003

- Fold01: shrinkage=0.004, interaction.depth=16, n.minobsinnode=8, n.trees=500 
+ Fold01: shrinkage=0.006, interaction.depth= 2, n.minobsinnode=8, n.trees=500 
Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.0986            -nan     0.0060    0.0127
     2        1.0910            -nan     0.0060    0.0136
     3        1.0833            -nan     0.0060    0.0132
     4        1.0755            -nan     0.0060    0.0128
     5        1.0682            -nan     0.0060    0.0118
     6        1.0612            -nan     0.0060    0.0114
     7        1.0539            -nan     0.0060    0.0118
     8        1.0470            -nan     0.0060    0.0119
     9        1.0402            -nan     0.0060    0.0120
    10        1.0334            -nan     0.0060    0.0105
    20        0.9738            -nan     0.0060    0.0092
    40        0.8805            -nan     0.0060    0.0062
    60        0.8121            -nan     0.0060    0.0042
    80        0.7616            -nan     0.0060    0.0031
   100        0.7222            -nan     0.0060    0.0021
   120        0.6920            -nan     0.0060    0.0014
   140        0.6674            -nan     0.0060    0.0006
   160        0.6479            -nan     0.0060    0.0006
   180        0.6313            -nan     0.0060    0.0006
   200        0.6168            -nan     0.0060   -0.0000
   220        0.6043            -nan     0.0060    0.0002
   240        0.5933            -nan     0.0060    0.0002
   260        0.5829            -nan     0.0060    0.0001
   280        0.5735            -nan     0.0060   -0.0003
   300        0.5644            -nan     0.0060    0.0000
   320        0.5557            -nan     0.0060   -0.0002
   340        0.5477            -nan     0.0060   -0.0002
   360        0.5404            -nan     0.0060   -0.0001
   380        0.5336            -nan     0.0060   -0.0003
   400        0.5270            -nan     0.0060    0.0000
   420        0.5205            -nan     0.0060   -0.0002
   440        0.5147            -nan     0.0060   -0.0002
   460        0.5086            -nan     0.0060   -0.0001
   480        0.5030            -nan     0.0060   -0.0002
   500        0.4971            -nan     0.0060   -0.0006

- Fold01: shrinkage=0.006, interaction.depth= 2, n.minobsinnode=8, n.trees=500 
+ Fold01: shrinkage=0.006, interaction.depth= 4, n.minobsinnode=8, n.trees=500 
Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.0986            -nan     0.0060    0.0136
     2        1.0903            -nan     0.0060    0.0137
     3        1.0819            -nan     0.0060    0.0132
     4        1.0735            -nan     0.0060    0.0128
     5        1.0656            -nan     0.0060    0.0134
     6        1.0570            -nan     0.0060    0.0118
     7        1.0490            -nan     0.0060    0.0121
     8        1.0417            -nan     0.0060    0.0119
     9        1.0342            -nan     0.0060    0.0108
    10        1.0273            -nan     0.0060    0.0119
    20        0.9608            -nan     0.0060    0.0099
    40        0.8555            -nan     0.0060    0.0068
    60        0.7789            -nan     0.0060    0.0043
    80        0.7192            -nan     0.0060    0.0032
   100        0.6720            -nan     0.0060    0.0023
   120        0.6352            -nan     0.0060    0.0014
   140        0.6045            -nan     0.0060    0.0009
   160        0.5801            -nan     0.0060    0.0006
   180        0.5584            -nan     0.0060    0.0003
   200        0.5392            -nan     0.0060    0.0002
   220        0.5229            -nan     0.0060   -0.0000
   240        0.5087            -nan     0.0060    0.0000
   260        0.4947            -nan     0.0060   -0.0003
   280        0.4817            -nan     0.0060   -0.0000
   300        0.4700            -nan     0.0060   -0.0003
   320        0.4596            -nan     0.0060   -0.0005
   340        0.4489            -nan     0.0060   -0.0004
   360        0.4391            -nan     0.0060   -0.0006
   380        0.4297            -nan     0.0060   -0.0003
   400        0.4210            -nan     0.0060   -0.0001
   420        0.4119            -nan     0.0060   -0.0005
   440        0.4043            -nan     0.0060   -0.0006
   460        0.3969            -nan     0.0060   -0.0006
   480        0.3898            -nan     0.0060   -0.0003
   500        0.3824            -nan     0.0060   -0.0007

- Fold01: shrinkage=0.006, interaction.depth= 4, n.minobsinnode=8, n.trees=500 
+ Fold01: shrinkage=0.006, interaction.depth= 6, n.minobsinnode=8, n.trees=500 
Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.0986            -nan     0.0060    0.0133
     2        1.0896            -nan     0.0060    0.0148
     3        1.0803            -nan     0.0060    0.0143
     4        1.0717            -nan     0.0060    0.0124
     5        1.0635            -nan     0.0060    0.0124
     6        1.0552            -nan     0.0060    0.0135
     7        1.0472            -nan     0.0060    0.0131
     8        1.0391            -nan     0.0060    0.0127
     9        1.0312            -nan     0.0060    0.0123
    10        1.0231            -nan     0.0060    0.0114
    20        0.9521            -nan     0.0060    0.0093
    40        0.8403            -nan     0.0060    0.0067
    60        0.7549            -nan     0.0060    0.0048
    80        0.6905            -nan     0.0060    0.0039
   100        0.6384            -nan     0.0060    0.0024
   120        0.5969            -nan     0.0060    0.0015
