as_5,QTal,QTe,glac,QTl,QTp,resid,gran_br,sed_br,maf_br,nTv,pgTv,Qs,sed_thick,bed_hz_dist,bed_dpt_dist,basin_vol,qflt_hz_dist,qflt_dpt_dist,qflt_dens,qflt_sum,actflt_hz_dist,actflt_dpt_dist,actflt_dens,actflt_sum,playa_dist,playa_bin,geoth_prb,spg_dist,spg_cnt,vent_dist,vent_cnt,hotwell_dist,hotwell_cnt,plant_dist,plant_cnt,econ_dist,econ_cnt,ext_dist,ext_cnt,brd,crb,cr,gslb,hrb,trb,wrb,wcr,wr,closed_basin,precip,recharge,pet,eta,aridity,bflow_index,well_depth,LP1,DSD1,LP2,DSD2,LP3,DSD3,LP4,DSD4,DSD5,LP5,DSD6,LP6,LP7,DSD7,LP8,DSD8,LP9,DSD9,barren,cropland,dev_h,dev_l,dev_m,dev_o,herb_wet,forest,pasture,herb,shrub,wood_wet,cbr,nbr,sierra
1,1,0,0,0,0,0,0,0,0,1,0,0,2.726320028,637.027,2.72629506,4163620096,698.1402773,604.6072155,0.420892,348677,698.1402773,604.6072155,0.193078995,159951,4210.71,1,0.00016,8242.560085,1,43214.91876,0,15814.97571,1,60879.60615,0,59252.44494,0,59199.62687,0,0,0,0,0,0,0,1,0,0,1,236.1300049,14,5094.680176,152,0.0463484,68,83,8761,242,1568,1352,577,3676,4803,11114,11114,4803,70873,5838,9677,169462,5714,374426,5714,374427,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,1,0,0,0,0,0,0,0,0,1,0,0,2.726320028,431.126,2.726265518,4163620096,597.1609357,517.1565405,0.420892,348677,597.1609357,517.1565405,0.193078995,159951,4521.42,1,0.00016,8573.530425,1,43450.73329,0,15801.24259,1,60677.97851,0,59054.1739,0,59001.05241,0,0,0,0,0,0,0,1,0,0,1,246.2200012,14,5094.680176,152,0.0463484,68,140,5619,484,3593,1264,1066,4260,5104,11129,11129,5104,70873,5823,9664,169357,5711,374787,5711,374789,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,1,0,0,0,0,0,0,0,0,1,0,0,2.726320028,600.726,2.726291952,4163620096,355.9502137,308.2619275,0.420892,348677,355.9502137,308.2619275,0.193078995,159951,4683.36,1,0.00016,8673.545656,1,43671.4061,0,16023.71992,1,60803.64103,0,59182.47373,0,59129.11842,0,0,0,0,0,0,0,1,0,0,1,274.9500122,14,5094.680176,152,0.0463484,68,245,9380,484,4613,1471,1520,4465,5253,11119,11119,5253,70873,5853,9671,169269,5706,374784,5706,374785,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,1,0,0,0,0,0,0,0,0,1,0,0,2.726320028,582.866,2.726290205,4163620096,357.9151235,309.9635893,0.420892,348677,357.9151235,309.9635893,0.193078995,159951,4705.9,1,0.00016,8701.467846,1,43683.96518,0,16011.77499,1,60777.32518,0,59156.36693,0,59102.99294,0,0,0,0,0,0,0,1,0,0,1,274.9500122,14,5094.680176,152,0.0463484,68,245,9339,454,4817,1471,1581,4482,5280,11119,11119,5280,70873,5851,9669,169269,5705,374826,5705,374828,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,1,0,0,0,0,0,0,0,0,1,0,0,2.726320028,297.251,2.726205364,4163620096,631.4412025,546.8441224,0.420892,348677,631.4412025,546.8441224,0.193078995,159951,4623.62,1,0.00016,8705.414144,1,43492.01205,0,15718.88688,1,60533.60877,0,58910.57695,0,58857.38549,0,0,0,0,0,0,0,1,0,0,1,246.2200012,14,5094.680176,152,0.048328899,68,183,2727,466,4354,1169,1146,4440,5206,11152,11152,5206,70873,5806,9654,169339,5712,374981,5712,374983,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,1,0,0,0,0,0,0,0,0,1,0,0,2.726320028,455.129,2.726271116,4163620096,439.3799678,380.514214,0.420892,348677,439.3799678,380.514214,0.193078995,159951,4748.85,1,0.00016,8783.246178,1,43668.25064,0,15897.44641,1,60634.24344,0,59013.32901,0,58959.95018,0,0,0,0,0,0,0,1,0,0,1,246.2200012,14,5094.680176,152,0.048328899,68,170,5603,454,5257,1291,1501,4519,5329,11147,11147,5329,70873,5827,9659,169269,5707,374996,5707,374998,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,1,0,0,0,0,0,0,0,0,1,0,0,2.726320028,184.042,2.726020943,4163620096,476.4013927,412.5757085,0.420892,348677,476.4013927,412.5757085,0.193078995,159951,5024.02,1,0.00016,9103.120845,1,43830.57529,0,15793.66273,1,60357.72451,0,58739.40326,0,58685.79431,0,0,0,0,0,0,0,1,0,0,1,274.9500122,14,5094.680176,16,0.048328899,68,175,1166,514,7709,1178,1980,4587,5491,11103,11103,5491,70873,5800,9643,169181,5707,375375,5707,375376,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,1,0,0,0,0,0,0,0,0,1,0,0,2.726320028,100.774,2.725322867,4163620096,459.2727893,397.7419028,0.420892,348677,459.2727893,397.7419028,0.193078995,159951,5111.34,1,0.00016,9197.602437,1,43891.16512,0,15782.93172,1,60291.65649,0,58674.24491,0,58620.55596,0,0,0,0,0,0,0,1,0,0,1,274.9500122,14,5094.680176,16,0.048328899,68,150,556,539,8465,1173,2159,4599,5547,11120,11120,5547,70873,5794,9639,169164,5706,375484,5706,375486,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,1,0,0,0,0,0,0,0,0,1,0,0,2.726320028,0,0,4163620096,250.1253964,216.6149474,0.420892,348677,250.1253964,216.6149474,0.193078995,159951,5566.54,1,0.00016,9643.472003,1,44288.0086,0,15905.28211,1,60117.88704,0,58506.05719,0,58451.88472,0,0,0,0,0,0,0,1,0,0,1,274.6199951,14,4425.77002,104,0.055633299,68,80,423,708,8920,1667,3186,4669,5933,11133,11133,5933,70873,5795,9629,168988,5700,375902,5700,375904,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0,1,54.44290161,1084.678,54.37445176,5.96E+11,4395.48466,3806.601378,0.107228003,463023,144608.8747,125234.9591,0,0,969.05,1,0.00044,13631.54972,0,120490.7512,0,54216.22308,1,134659.9236,0,266686.0513,0,133252.0001,0,0,0,1,0,0,0,0,0,0,0,241.5899963,12,3708.899902,23,0.065297,63,240,6143,1430,7204,1876,9929,8533,3313,25571,26923,3147,99144,6661,9310,251638,5906,437249,5151,501359,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,1,0,0,0,0,0,0,0,0,0,0,1,192.4640045,4084.565,192.2506978,5.04E+11,5932.61627,5137.796401,0.0506186,192450,184536.1634,159813.0054,0,0,2938.1,1,0.00001,43616.87221,4,159819.6215,0,33444.2891,2,102827.3213,0,293456.8243,0,101303.9111,0,0,0,0,1,0,0,0,0,0,0,235.0200043,15,3640.100098,6,0.064564198,76,80,2267,1190,7091,2991,5409,3921,5409,3921,30184,9737,85043,4765,9112,267799,5729,467744,4848,552795,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,0,0,0,1,0,0,1,0,0,0,0,0,342.1319885,1287.98,330.6646947,1.12E+11,1181.237305,1022.981514,0.328171998,415704,1181.237305,1022.981514,0.039124001,49559.39844,0,1,0.00314,10682.92768,1,39445.3761,0,5848.822175,2,43600.05427,0,41891.8034,0,41847.75082,0,0,0,0,0,0,0,1,0,0,0,195.7799988,13,5094.680176,196,0.0384284,68,420,4274,912,8015,1662,1797,9111,1126,14535,15259,1073,69776,3088,8646,171770,6048,386535,6010,388995,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1,0,0,0,0,0,0,1,0,0,0,0,57.2942009,1612.158,57.25805362,90742603776,1482.232864,1283.651315,0.542025983,969472,1482.232864,1283.651315,0.064818896,115936,0,1,0.00027,3044.568032,6,41947.02364,0,19197.23048,2,57101.5288,0,59840.0624,0,61632.3552,0,0,1,0,0,0,0,0,0,0,0,316.2999878,89,4254.220215,241,0.074709401,74,12,1369,929,7921,1981,4088,5935,7321,10135,41687,1780,76212,6999,9518,162006,5245,395226,5246,395234,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,1,0,0,0,0,0,0,1,0,0,0,0,196.0449982,1167.863,193.3398477,90742603776,1357.048107,1175.238135,0.542025983,969472,1357.048107,1175.238135,0.064818896,115936,0,1,0.00027,894.1281405,6,39411.96639,0,17341.4295,2,54331.47333,0,57124.88417,0,61745.96314,0,0,1,0,0,0,0,0,0,0,0,287.9700012,105,4254.220215,440,0.073790297,73,141,6568,771,2522,2009,8122,2645,9838,7452,39242,1868,78450,7101,9451,160664,5210,398559,5210,398568,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0,1,0,0,0,0,0,0,1,0,0,0,0,70.54370117,800.287,70.27122326,90742603776,809.9698896,701.4545007,0.542025983,969472,809.9698896,701.4545007,0.064818896,115936,0,1,0.00027,1229.95374,6,39274.87474,0,17531.59688,2,54072.60849,0,56891.90813,0,62406.82944,0,0,1,0,0,0,0,0,0,0,0,320.1600037,138,4254.220215,701,0.068188801,72,27,4142,362,6723,1553,8228,2804,9042,7833,38474,1929,78686,7212,9399,160428,5190,398961,5190,398970,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,1,0,0,0,0,0,0,1,0,0,0,0,548.8549805,3715.381,542.9625002,90742603776,3627.076137,3141.140076,0.542025983,969472,4351.720397,3768.700414,0.064818896,115936,0,1,0.00016,3783.471798,6,37544.88595,0,14869.3823,2,52748.09768,0,55468.28334,0,58747.0182,0,0,1,0,0,0,0,0,0,0,0,264.7799988,44,4254.220215,505,0.060772698,70,17,5953,314,1835,2531,1805,2573,6213,7559,39436,1190,78786,6748,9629,160329,5267,400303,5267,400311,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,1,0,0,0,0,0,0,1,0,0,0,0,328.4190063,3134.322,326.630834,90742603776,2494.666169,2160.444276,0.542025983,969472,5464.341823,4732.258834,0.064818896,115936,520.02,1,0.00027,4842.064672,6,37231.15754,0,14285.42161,2,52552.94241,0,55237.55591,0,57655.41412,0,0,1,0,0,0,0,0,0,0,0,256.6300049,33,4254.220215,505,0.060993601,69,91,4780,731,5271,2665,5165,2720,5024,8105,39952,1019,78748,6601,9700,160366,5292,400544,5292,400553,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0,1,0,0,0,0,0,0,0,0,1,0,0,89.89369965,2254.466,89.82232354,90742603776,112.6569349,97.56376754,0.542025983,969472,9357.636371,8103.950817,0.064818896,115936,0,1,0.00188,8980.634847,6,36315.55032,0,12771.57922,2,51994.4805,0,53708.31339,0,53629.95328,0,0,1,0,0,0,0,0,0,0,0,278.3200073,15,4254.220215,53,0.0654222,69,375,4000,900,1428,2520,1428,2520,414,8682,40470,88,78612,6057,9963,156810,5386,401117,5382,401422,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,1,0,0,0,0,0,0,0,0,1,0,0,89.89369965,2849.394,89.84899747,90742603776,1041.099818,901.6188903,0.542025983,969472,10262.43448,8887.528964,0.064818896,115936,0,1,0.00188,9845.314206,6,35696.61625,0,12130.09559,2,51422.29106,0,52802.44042,0,52723.94573,0,0,1,0,0,0,0,0,0,0,0,271.4500122,15,4254.220215,131,0.064992003,69,21,7500,649,3088,1577,2581,1887,1248,3904,18126,268,78810,5965,9984,155471,5406,401514,5397,402189,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,1,0,0,0,0,0,0,1,0,0,0,0,262.0700073,3917.1,261.4854358,90742603776,3698.289742,3202.812867,0.542025983,969472,3698.289742,3202.812867,0.064818896,115936,0,1,0.00008,4144.474876,6,36140.3192,0,14222.17007,2,51102.2426,0,53881.52545,0,59610.90001,0,0,1,0,0,0,0,0,0,0,0,251.6100006,83,4254.220215,417,0.0591437,73,19,909,330,134,2226,134,2226,8490,4832,37492,1094,79668,6953,9548,159565,5230,402295,5230,402304,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,1,0,0,0,0,0,0,1,0,0,0,0,45.10699844,1292.8,45.07956737,90742603776,1042.03418,902.4280715,0.542025983,969472,1042.03418,902.4280715,0.064818896,115936,17.63,1,0.00027,4368.476696,6,36600.32062,0,15717.40448,2,51194.70712,0,54048.92362,0,61943.65398,0,0,1,0,0,0,0,0,0,0,0,309.8500061,149,4254.220215,479,0.067464903,72,107,8802,708,7015,1154,2490,3251,6581,6089,37155,1691,79991,7280,9389,159242,5173,402431,5173,402441,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,1,0,0,0,0,0,0,1,0,0,0,0,600,5401.055,596.3316612,90742603776,3996.835221,3461.360836,0.542025983,969472,5571.425859,4824.996329,0.064818896,115936,0,1,0.00008,5361.249649,6,35411.6899,0,12911.02599,2,50598.20855,0,53320.32147,0,57730.75091,0,0,1,0,0,0,0,0,0,0,0,241.4799957,43,4254.220215,473,0.056762502,69,15,2774,980,7807,2459,7807,2459,5316,5619,38267,780,79655,6715,9667,159577,5269,402815,5269,402824,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,1,0,0,0,0,0,0,0,0,1,0,0,114.3700027,1652.29,114.0969939,90742603776,223.9740246,193.9671951,0.542025983,969472,11784.31164,10205.51325,0.064818896,115936,792.48,1,0.00188,11307.3682,6,34629.23675,0,11083.21724,2,50424.21742,0,51290.79566,0,51212.02043,0,0,1,0,0,0,0,0,0,0,0,267.9700012,15,4254.220215,33,0.065607898,69,125,10000,296,9350,1768,9350,1768,4786,3927,18510,1015,79146,5811,9891,155226,5439,402186,5421,403492,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
